Issue_id,Type,Priority,Component,Title,Description,Status,Resolution,Duplicated_issue,Assignee,Reporter,Created_time,Updated_time,Resolved_time,Fix_version,Affects_version,Labels,Blocked_issue,Related_issue,Link
HADOOP-1,Task,Major,,initial import of code from Nutch,The initial code for Hadoop will be copied from Nutch.,Closed,Fixed,,Doug Cutting,Doug Cutting,Wed; 1 Feb 2006 02:54:35 +0000,Thu; 17 Sep 2015 06:00:01 +0000,Sat; 4 Feb 2006 05:57:14 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-1
HADOOP-2,Bug,Major,,Reused Keys and Values fail with a Combiner,If the map function reuses the key or value by destructively modifying it after the output.collect(key;value) call and your application uses a combiner; the data is corrupted by having lots of instances with the last key or value.,Closed,Fixed,,Owen O'Malley,Owen O'Malley,Sat; 4 Feb 2006 05:54:30 +0000,Tue; 11 Aug 2015 07:18:50 +0000,Fri; 31 Mar 2006 05:11:16 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-2
HADOOP-3,Bug,Minor,,Output directories are not cleaned up before the reduces run,The output directory for the reduces is not cleaned up and therefore if you can see left overs from previous runs; if they had more reduces. For example; if you run the application once with reduces=10 and then rerun with reduces=8; your output directory will have frag00000 to frag00009 with the first 8 fragments from the second run and the last 2 fragments from the first run.,Closed,Fixed,,Owen O'Malley,Owen O'Malley,Sat; 4 Feb 2006 05:58:10 +0000,Tue; 5 Dec 2017 04:19:27 +0000,Thu; 23 Mar 2006 04:14:18 +0000,,0.1.0,,,,https://issues.apache.org/jira/browse/HADOOP-3
HADOOP-4,Improvement,Major,,tool to mount dfs on linux,"This is a FUSE module for Hadoop's HDFS.It allows one to mount HDFS as a Unix filesystem and optionally exportthat mount point to other machines.rmdir; mv; mkdir; rm are all supported. just not cp; touch; ...; but actual writes require: https://issues.apache.org/jira/browse/HADOOP-3485For the most up-to-date documentation; see: http://wiki.apache.org/hadoop/MountableHDFSBUILDING:Requirements:   1. a Linux kernel  2.6.9 or a kernel module from FUSE - i.e.; you   compile it yourself and then modprobe it. Better off with the   former option if possible.  (Note for now if you use the kernel   with fuse included; it doesn't allow you to export this through NFS   so be warned. See the FUSE email list for more about this.)   2. FUSE should be installed in /usr/local or FUSE_HOME ant   environment variableTo build:   1. in HADOOP_HOME: ant compile-contrib -Dcompile.c++=1 -Dfusedfs=1 -Dlibhdfs=1NOTE: for amd64 architecture; libhdfs will not compile unless you editthe Makefile in src/c++/libhdfs/Makefile and set OS_ARCH=amd64(probably the same for others too).--------------------------------------------------------------------------------CONFIGURING:Look at all the paths in fuse_dfs_wrapper.sh and either correct themor set them in your environment before running. (note for automountand mount as root; you probably cannnot control the environment; sobest to set them in the wrapper)INSTALLING:1. mkdir /mnt/dfs (or wherever you want to mount it)2. fuse_dfs_wrapper.sh dfs://hadoop_server1.foo.com:9000 /mnt/dfs -d; and from another terminal; try ls /mnt/dfsIf 2 works; try again dropping the debug mode; i.e.; -d(note - common problems are that you don't have libhdfs.so orlibjvm.so or libfuse.so on your LD_LIBRARY_PATH; and your CLASSPATHdoes not contain hadoop and other required jars.)--------------------------------------------------------------------------------DEPLOYING:in a root shell do the following:1. add the following to /etc/fstab -  fuse_dfs#dfs://hadoop_server.foo.com:9000 /mnt/dfs fuse  allow_other;rw 0 02. mount /mnt/dfs Expect problems with not finding fuse_dfs. You will   need to probably add this to /sbin and then problems finding the   above 3 libraries. Add these using ldconfig.--------------------------------------------------------------------------------EXPORTING:Add the following to /etc/exports:  /mnt/hdfs *.foo.com(no_root_squash;rw;fsid=1;sync)NOTE - you cannot export this with a FUSE module built into the kernel	e.g.; kernel 2.6.17. For info on this; refer to the FUSE wiki.--------------------------------------------------------------------------------ADVANCED:you may want to ensure certain directories cannot be deleted from theshell until the FS has permissions. You can set this in the build.xmlfile in src/contrib/fuse-dfs/build.xml",Closed,Fixed,HADOOP-17,Pete Wyckoff,John Xing,Sun; 5 Feb 2006 03:55:29 +0000,Thu; 19 Jul 2012 11:12:58 +0000,Thu; 29 May 2008 20:18:37 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-4
HADOOP-5,Bug,Minor,,need commons-logging-api jar file,The hadoop lib directory needs a copy of the commons-logging-api jar file from nutch's lib directory.,Closed,Fixed,,Unassigned,Owen O'Malley,Tue; 7 Feb 2006 03:04:15 +0000,Thu; 3 Aug 2006 17:46:26 +0000,Tue; 7 Feb 2006 04:28:13 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-5
HADOOP-6,Bug,Minor,,missing build directory in classpath,When running a developer build; the hadoop script needs the build directory on the classpath so that the job tracker can find the webapps directory.,Closed,Fixed,,Unassigned,Owen O'Malley,Tue; 7 Feb 2006 03:19:03 +0000,Thu; 3 Aug 2006 17:46:26 +0000,Tue; 7 Feb 2006 03:34:35 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-6
HADOOP-7,Bug,Major,,MapReduce has a series of problems concerning task-allocation to worker nodes,"The MapReduce JobTracker is not great at allocating tasks to TaskTracker worker nodes.Here are the problems:1) There is no speculative execution of tasks2) Reduce tasks must wait until all map tasks are completed before doing any work3) TaskTrackers don't distinguish between Map and Reduce jobs.  Also; the number oftasks at a single node is limited to some constant.  That means you can get weird deadlockproblems upon machine failure.  The reduces take up all the available execution slots; but theydon't do productive work; because they're waiting for a map task to complete.  Of course; thatmap task won't even be started until the reduce tasks finish; so you can see the problem...4) The JobTracker is so complicated that it's hard to fix any of these.The right solution is a rewrite of the JobTracker to be a lot more flexible in task handling.It has to be a lot simpler.  One way to make it simpler is to add an abstraction I'll call""TaskInProgress"".  Jobs are broken into chunks called TasksInProgress.  All the TaskInProgressobjects must be complete; somehow; before the Job is complete.A single TaskInProgress can be executed by one or more Tasks.  TaskTrackers are assigned Tasks.If a Task fails; we report it back to the JobTracker; where the TaskInProgress lives.  The TIP can thendecide whether to launch additional  Tasks or not.Speculative execution is handled within the TIP.  It simply launches multiple Tasks in parallel.  TheTaskTrackers have no idea that these Tasks are actually doing the same chunk of work.  The TIPis complete when any one of its Tasks are complete.",Closed,Fixed,,Unassigned,Mike Cafarella,Sat; 21 Jan 2006 05:40:53 +0000,Mon; 18 May 2015 04:11:26 +0000,Tue; 7 Feb 2006 03:38:43 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-7
HADOOP-8,Bug,Major,,NDFS DataNode advertises localhost as it's address,,Closed,Won't Fix,,Unassigned,Peter Sandström,Sun; 24 Jul 2005 23:46:18 +0000,Mon; 18 May 2015 04:15:07 +0000,Fri; 24 Feb 2006 08:13:30 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-8
HADOOP-9,Bug,Minor,,mapred.local.dir  temp dir. space allocation limited by smallest area,"When mapred.local.dir is used to specify multiple  temp dir. areas; space allocation limited by smallest area because the temp dir. selection algorithm is ""round robin starting from a randomish point"".   When round robin is used with approximately constant sized chunks; the smallest area runs out of space first; and this is a fatal error. Workaround: only list local fs dirs in mapred.local.dir with similarly-sized available areas.I wrote a patch to JobConf (currenly being tested) which uses df to check available space (once a minute or less often) and then uses an efficient roulette selection to do allocation weighted by magnitude of available space.",Closed,Fixed,,Ari Rabkin,Paul Baclace,Tue; 17 Jan 2006 10:09:39 +0000,Sat; 6 Nov 2010 05:27:57 +0000,Tue; 12 Aug 2008 21:21:12 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-9
HADOOP-10,Bug,Trivial,,ndfs.replication is not documented within the nutch-default.xml configuration file.,ndfs.replication is not documented within the nutch-default.xml configuration file.,Closed,Fixed,,Unassigned,Rod Taylor,Fri; 14 Oct 2005 06:02:45 +0000,Wed; 8 Jul 2009 16:41:47 +0000,Tue; 7 Feb 2006 04:15:25 +0000,,,,,,https://issues.apache.org/jira/browse/HADOOP-10
HADOOP-12,Bug,Minor,,InputFormat used in job must be in JobTracker classpath (not loaded from job JAR),"During development; I've been creating/tweaking custom InputFormat implementations. However; when you try to run a job against a running cluster; you get:  Exception in thread ""main"" java.io.IOException: java.lang.RuntimeException: java.lang.RuntimeException: java.lang.ClassNotFoundException: my.custom.InputFormat          at org.apache.nutch.ipc.Client.call(Client.java:294)          at org.apache.nutch.ipc.RPC$Invoker.invoke(RPC.java:127)          at $Proxy0.submitJob(Unknown Source)          at org.apache.nutch.mapred.JobClient.submitJob(JobClient.java:259)          at org.apache.nutch.mapred.JobClient.runJob(JobClient.java:288)          at com.parc.uir.wikipedia.WikipediaJob.main(WikipediaJob.java:85)This error goes away if I restart the TaskTrackers/JobTracker with a classpath which includes the needed code. Other classes (Mapper; Reducer) appear to be available out of the jar file specified in the JobConf; but not the InputFormat. Obviously; it's less than idea to have to restart the JobTracker whenever there's a change to a job-specific class.",Closed,Fixed,,Unassigned,Bryan Pendleton,Tue; 31 Jan 2006 07:00:17 +0000,Wed; 8 Jul 2009 16:51:40 +0000,Fri; 10 Feb 2006 08:01:55 +0000,,,,,HADOOP-16,https://issues.apache.org/jira/browse/HADOOP-12
HADOOP-12,Bug,Minor,,InputFormat used in job must be in JobTracker classpath (not loaded from job JAR),"During development; I've been creating/tweaking custom InputFormat implementations. However; when you try to run a job against a running cluster; you get:  Exception in thread ""main"" java.io.IOException: java.lang.RuntimeException: java.lang.RuntimeException: java.lang.ClassNotFoundException: my.custom.InputFormat          at org.apache.nutch.ipc.Client.call(Client.java:294)          at org.apache.nutch.ipc.RPC$Invoker.invoke(RPC.java:127)          at $Proxy0.submitJob(Unknown Source)          at org.apache.nutch.mapred.JobClient.submitJob(JobClient.java:259)          at org.apache.nutch.mapred.JobClient.runJob(JobClient.java:288)          at com.parc.uir.wikipedia.WikipediaJob.main(WikipediaJob.java:85)This error goes away if I restart the TaskTrackers/JobTracker with a classpath which includes the needed code. Other classes (Mapper; Reducer) appear to be available out of the jar file specified in the JobConf; but not the InputFormat. Obviously; it's less than idea to have to restart the JobTracker whenever there's a change to a job-specific class.",Closed,Fixed,,Unassigned,Bryan Pendleton,Tue; 31 Jan 2006 07:00:17 +0000,Wed; 8 Jul 2009 16:51:40 +0000,Fri; 10 Feb 2006 08:01:55 +0000,,,,,HADOOP-16,https://issues.apache.org/jira/browse/HADOOP-12
HADOOP-16,Bug,Major,,RPC call times out while indexing map task is computing splits,"We've been using Nutch 0.8 (MapReduce) to perform some internet crawling. Things seemed to be going well until...060129 222409 Lost tracker 'tracker_56288'060129 222409 Task 'task_m_10gs5f' has been lost.060129 222409 Task 'task_m_10qhzr' has been lost.   ........   ........060129 222409 Task 'task_r_zggbwu' has been lost.060129 222409 Task 'task_r_zh8dao' has been lost.060129 222455 Server handler 8 on 8010 caught: java.net.SocketException: Socket closedjava.net.SocketException: Socket closed        at java.net.SocketOutputStream.socketWrite(SocketOutputStream.java:99)        at java.net.SocketOutputStream.write(SocketOutputStream.java:136)        at java.io.BufferedOutputStream.flushBuffer(BufferedOutputStream.java:65)        at java.io.BufferedOutputStream.flush(BufferedOutputStream.java:123)        at java.io.DataOutputStream.flush(DataOutputStream.java:106)        at org.apache.nutch.ipc.Server$Handler.run(Server.java:216)060129 222455 Adding task 'task_m_cia5po' to set for tracker 'tracker_56288'060129 223711 Adding task 'task_m_ffv59i' to set for tracker 'tracker_25647'I'm hoping that someone could explain why task_m_cia5po got added to tracker_56288 after this tracker was lost.The Crawl .main process died with the following output:060129 221129 Indexer: adding segment: /user/crawler/crawl-20060129091444/segments/20060129200246Exception in thread ""main"" java.io.IOException: timed out waiting for response    at org.apache.nutch.ipc.Client.call(Client.java:296)    at org.apache.nutch.ipc.RPC$Invoker.invoke(RPC.java:127)    at $Proxy1.submitJob(Unknown Source)    at org.apache.nutch.mapred.JobClient.submitJob(JobClient.java:259)    at org.apache.nutch.mapred.JobClient.runJob(JobClient.java:288)    at org.apache.nutch.indexer.Indexer.index(Indexer.java:263)    at org.apache.nutch.crawl.Crawl.main(Crawl.java:127)However; it definitely seems as if the JobTracker is still waiting for the job to finish (no failed jobs).Doug Cutting's response:The bug here is that the RPC call times out while the map task is computing splits.  The fix is that the job tracker should not compute splits until after it has returned from the submitJob RPC.  Please submit a bug in Jira to help remind us to fix this.",Closed,Fixed,,Mike Cafarella,Chris Schneider,Wed; 1 Feb 2006 08:25:38 +0000,Wed; 8 Jul 2009 16:51:40 +0000,Fri; 3 Mar 2006 08:09:22 +0000,,0.1.0,,,HADOOP-12,https://issues.apache.org/jira/browse/HADOOP-16
