IllegalMonitorStateException in DataNode shutdown,processIOError() may cause infinite loop.
processIOError() may cause infinite loop.,DF should use used + available as the capacity of this volume
DF should use used + available as the capacity of this volume,Check that network topology is updated when new data-nodes are joining the cluster
Check that network topology is updated when new data-nodes are joining the cluster,in FSNamesystem.registerDatanode; dnAddress should be resolved (rarely occured)
in FSNamesystem.registerDatanode; dnAddress should be resolved (rarely occured),NotReplicatedYetException is handled incorrectly in DFSClient
NotReplicatedYetException is handled incorrectly in DFSClient,Interrupting the namenode thread triggers System.exit()
Interrupting the namenode thread triggers System.exit(),distcp job failed
distcp job failed,DFS logging in NameSystem.pendingTransfer consumes all disk space
DFS logging in NameSystem.pendingTransfer consumes all disk space,Tests fail on windows due to BindException.
Tests fail on windows due to BindException.,hadoop dfs -put does not return nonzero status on failure
hadoop dfs -put does not return nonzero status on failure,filenames with ':' colon throws java.lang.IllegalArgumentException
DFSClient should timeout on long writes,Rack replication policy can be violated for over replicated blocks 
Rack replication policy can be violated for over replicated blocks ,Data transfer buffer length in DFSOutputStream should not be user controlled.
Data transfer buffer length in DFSOutputStream should not be user controlled.,HDFS FileStatus.getPermission() should return 777 when dfs.permissions=false
HDFS FileStatus.getPermission() should return 777 when dfs.permissions=false,NameNode startup failed
NameNode startup failed,Unhandled exceptions in DFSClient
Unhandled exceptions in DFSClient,fsck <path> -delete doesn't report failures
fsck <path> -delete doesn't report failures,unresponsive namenode because of not finding places to replicate
unresponsive namenode because of not finding places to replicate,Help information of refreshNodes does not show how to decomission nodes
Help information of refreshNodes does not show how to decomission nodes,many filelist calls to large directory killing the namenode
FSDataOutputStream should flush last partial CRC chunk,The FSDirectory should not have waitForReady
The FSDirectory should not have waitForReady,   HADOOP-5862 for version .20  (Namespace quota exceeded message unclear)
   HADOOP-5862 for version .20  (Namespace quota exceeded message unclear),RPC on Datanode blocked forever.
RPC on Datanode blocked forever.,On Namenode WebUI; sorting of the Datanode info table is not working for some of the columns in the table.
On Namenode WebUI; sorting of the Datanode info table is not working for some of the columns in the table.,In Datanode; update block may fail due to length inconsistency
In Datanode; update block may fail due to length inconsistency,Simulated DataNode crashes NameNode
Simulated DataNode crashes NameNode,Hadoop distcp tool fails if file path contains special characters + & !
Hadoop distcp tool fails if file path contains special characters + & !,testFilePermissions in TestDFSShell should shut down the mini dfs cluster when there is an error
testFilePermissions in TestDFSShell should shut down the mini dfs cluster when there is an error,files disappearing on dfs
files disappearing on dfs,The elephant should remember names; not numbers.
The elephant should remember names; not numbers.,Confusing set replication message
Confusing set replication message,Handling of deprecated dfs.info.bindAddress and dfs.info.port
Handling of deprecated dfs.info.bindAddress and dfs.info.port,An invalidated block should be removed from the blockMap
An invalidated block should be removed from the blockMap,"DFSClient getting stuck intermittently giving ""DFSClient: Could not complete file   filename retrying..."" message"
"DFSClient getting stuck intermittently giving ""DFSClient: Could not complete file   filename retrying..."" message",Namenode blockMap not updated when datanode invalidates a block on heart beat
Namenode blockMap not updated when datanode invalidates a block on heart beat,Unit test org.apache.hadoop.dfs.TestBalancer fails on Solaris with a timeout
Unit test org.apache.hadoop.dfs.TestBalancer fails on Solaris with a timeout,fsimage;fstime not replicated when edit file is empty.
fsimage;fstime not replicated when edit file is empty.,NetUtils.createSocketAddr NPEs if dfs.datanode.ipc.address is not set for a data node
Ignoring IOExceptions on close,Unit test failed: TestInjectionForSimulatedStorage
Unit test failed: TestInjectionForSimulatedStorage,DFS client should throw version mismatch errors in case of a changed functionality
DFS client should throw version mismatch errors in case of a changed functionality,The namespace quota of root directory should not be Integer.MAX_VALUE
The namespace quota of root directory should not be Integer.MAX_VALUE,dead datanodes because of OutOfMemoryError
dead datanodes because of OutOfMemoryError,NN should check a block's length even if the block is not a new block when processing a blockreport
MiniDFSCluster.stopDataNode will always shut down a node in the cluster if a matching name is not found,NullPointerException when reading deleted file
