filenames with ':' colon throws java.lang.IllegalArgumentException,Naming convention for files being moved into HDFS
many filelist calls to large directory killing the namenode,HDFS should issue multiple RPCs for listing a large directory
NN should check a block's length even if the block is not a new block when processing a blockreport,Namenode does not recognize incorrectly sized blocks
SecondaryNameNode should validate the downloaded files.,NN should verify images and edit logs on startup
Datanode should verify block sizes vs metadata on startup,Support manually fsck in DataNode
dfs.name.dir disk full,When the disk becomes full Namenode is getting shutdown and not able to recover
HDFS does not support blocks greater than 2GB,large dfs.block.size doesn't work
DFS write pipeline : DFSClient sometimes does not detect second datanode failure ,DFS Write pipeline does not detect defective datanode correctly in some cases (HADOOP-3339)
Consistency of different replicas of the same block is not checked.,Namenode should mark the replica as corrupted if a DN has reported different length of a Complete block
setPermssion locks FSNamesystem across logSync.,saveNamespace race can corrupt the edits log
data node process should not die if one dir goes bad,better handling of volume failure in Data Node storage
When a file is deleted; its blocks remain in the blocksmap till the next block report from Datanode,Block information displayed in UI is incorrect 
When a file is deleted; its blocks remain in the blocksmap till the next block report from Datanode,BlocksMap.blockinfo is not getting cleared immediately after deleting a block.This will be cleared only after block report comes from the datanode.Why we need to maintain the blockinfo till that time.
Stack trace on spaceQuota excced .,Ugly stacktrace when quota exceeds
Block reports should be processed offline,0.20: Allow block reports to proceed without holding FSDataset lock
Quota exceed exception creates file of size 0,A zero size file is created when SpaceQuota exceeded
Quota exceed exception creates file of size 0,uploading file larger than the spaceQuota limit should not create 0 byte file
HDFS Tmpreaper,HDFS File/Directory TTL
Provide tool to view/change edits file,Create multi-format parser for edits logs file; support binary and XML formats initially
Provide tool to view/change edits file,FSEditLog dump/restore tool
API to get changes to the File System at NN for a window of time,inotify in HDFS
API to get changes to the File System at NN for a window of time,HDFS notification 
Random Write Access On Files,Random writes in HDFS
Trigger block scans for datanode,Support manually fsck in DataNode
Expose HDFS as a WebDAV store,HttpFS - a read/write Hadoop file system proxy
Support for snapshots,Support for RW/RO snapshots in HDFS
Namenode cluster(multi namenode working in active-active mode) to keep high availability and expansivity,NN Availability - umbrella Jira
