Issue_id,Type,Priority,Component,Title,Description,Status,Resolution,Duplicated_issue,Assignee,Reporter,Created_time,Updated_time,Resolved_time,Fix_version,Affects_version,Labels,Blocked_issue,Related_issue,Link
MAPREDUCE-1,Bug,Major,,Hadoop  mapreduce should always ship the jar file(s) specified by the user,when I run a hadoop job like:      bin hadoop jar myjar org.apache.hadoop.mapred.lib.aggregate.ValueAggregatorJob other_args  myjar is not shipped. The job failed because the class loader cannot find the classes specified in myjar.,Resolved,Duplicate,HADOOP-6103,Enis Soztutar,Runping Qi,Fri; 22 Jun 2007 06:23:24 +0000,Fri; 8 May 2015 17:55:02 +0000,Fri; 8 May 2015 17:55:02 +0000,,,,,,https://issues.apache.org/jira/browse/MAPREDUCE-1
MAPREDUCE-2,Bug,Major,,ArrayOutOfIndex error in KeyFieldBasedPartitioner on empty key,When using KeyFieldBasedPartitioner; if the record doesn't contain the specified field; the endChar would equal with array.length; which throw ArrayOutOfIndex exception; losing that record!,Resolved,Fixed,,Amar Kamat,Amar Kamat,Tue; 16 Jun 2009 08:37:07 +0000,Wed; 8 Jul 2009 05:44:40 +0000,Fri; 26 Jun 2009 08:42:04 +0000,,,,MAPREDUCE-735,,https://issues.apache.org/jira/browse/MAPREDUCE-2
MAPREDUCE-3,Bug,Major,,Set mapred.child.ulimit automatically to the value of the RAM limits for a job; if they are set,Memory based monitoring and scheduling allow users to set memory limits for the tasks of their jobs. This parameter is the total memory taken by the task; and any children it may launch (for e.g. in the case of streaming). A related parameter is mapred.child.ulimit which is a hard limit on the memory used by a single process of the entire task tree. For user convenience; it would be sensible for the system to set the ulimit to atleast the memory required by the task; if the user has specified the latter.,Resolved,Fixed,,Unassigned,Hemanth Yamijala,Sat; 13 Jun 2009 05:14:52 +0000,Tue; 22 Jul 2014 21:12:30 +0000,Tue; 22 Jul 2014 21:12:30 +0000,,,,,,https://issues.apache.org/jira/browse/MAPREDUCE-3
MAPREDUCE-4,Bug,Major,,TestJobTrackerRestart.testJobRecoveryWithEmptyHistory doesnt test the expected,"The test uses TestEmptyJob.CommitterWithDelayCleanup to delay cleanup. But the committer requires configuration property ""share"" to be set; which is not done in the test. So; cleanup fails in the test instead of getting delayed.  Test should have an assert for Job is successful in the end.",Resolved,Duplicate,MAPREDUCE-237,Amar Kamat,Amareshwari Sriramadasu,Tue; 16 Jun 2009 10:46:09 +0000,Thu; 2 May 2013 02:29:25 +0000,Wed; 1 Jul 2009 09:29:06 +0000,,,,,,https://issues.apache.org/jira/browse/MAPREDUCE-4
MAPREDUCE-5,Bug,Major,,Shuffle's getMapOutput() fails with EofException; followed by IllegalStateException,During the shuffle phase; I'm seeing a large sequence of the following actions:  1) WARN org.apache.hadoop.mapred.TaskTracker: getMapOutput(attempt_200905181452_0002_m_000010_0;0) failed : org.mortbay.jetty.EofException 2) WARN org.mortbay.log: Committed before 410 getMapOutput(attempt_200905181452_0002_m_000010_0;0) failed : org.mortbay.jetty.EofException 3) ERROR org.mortbay.log:  mapOutput  lang.IllegalStateException: Committed  The map phase completes with 100%; and then the reduce phase crawls along with the above errors in each of the TaskTracker logs.  None of the tasktrackers get lost.  When I run non-data jobs like the 'pi' test from the example jar; everything works fine.,Resolved,Not A Problem,,Unassigned,George Porter,Mon; 18 May 2009 22:12:54 +0000,Tue; 31 Mar 2015 00:24:18 +0000,Tue; 3 Sep 2013 06:45:43 +0000,,0.20.2;1.1.1,,,MAPREDUCE-163,https://issues.apache.org/jira/browse/MAPREDUCE-5
MAPREDUCE-6,Bug,Major,,Task attempt stopped shuffling and hung the job,I was running a job and one of the reducer task tempt process after 20 minutes of seeing it frozen; it restarted on another machine and succeeded just fine.,Resolved,Not A Problem,,Unassigned,Nathan Marz,Wed; 29 Apr 2009 22:30:00 +0000,Sat; 31 Dec 2011 08:46:35 +0000,Sat; 31 Dec 2011 08:46:34 +0000,,,,,,https://issues.apache.org/jira/browse/MAPREDUCE-6
MAPREDUCE-7,Bug,Major,,Reduce progress in the Reducer crosses 1,I printed the progress in the Progress. for every progress made and I found this scenario   Following are the lines I added to get this      This needs investigation and will also explain why occasionally users see jobs that are complete and their progress less that 100%.,Resolved,Duplicate,MAPREDUCE-5210,Unassigned,Amar Kamat,Fri; 22 Aug 2008 09:52:16 +0000,Thu; 2 May 2013 02:29:17 +0000,Wed; 7 Oct 2009 06:28:00 +0000,,,,,HADOOP-5210;MAPREDUCE-141,https://issues.apache.org/jira/browse/MAPREDUCE-7
MAPREDUCE-8,Bug,Major,,Bad File Descriptor in closing local file,Running the sort benchmark; I had a map fail with this exception:  2006-11-28 17:59:36;770 INFO org.apache.hadoop.mapred.TaskInProgress: Error from task_0001_m_001906_0: Map output lost; rescheduling: getMapOutput(task_0001_m_001906_0;786) failed :  534),Resolved,Not A Problem,,Owen O'Malley,Nigel Daley,Wed; 29 Nov 2006 19:06:25 +0000,Sat; 31 Dec 2011 08:47:31 +0000,Sat; 31 Dec 2011 08:47:30 +0000,,,,,HADOOP-757;HADOOP-758,https://issues.apache.org/jira/browse/MAPREDUCE-8
MAPREDUCE-9,Bug,Major,,Path separator in DistributedCache does not work between windows and unix,"DistributedCache.addfileToClassPath adds the files to mapred.job.classpath.files which can be seen in the jobs xml description. When the job is created and submitted from a windows machine the path separator is "";"". This can be seen in the configuration: mapred.job.classpath.files	  utils.jar  When the job is submitted over network to a Hadoop cluster running on Linux the path separator is "":"". This affects the DistributedCache.getFileClassPath method which separates the mapred.job.classpath.files configuration using the system path separator; which is "":"". This renders all classpath additions invalid using DistributedCache.addFileToClassPath.  Temporary sollution: I've simply added "";"" to the StringTokenizer in DistributedCache.getFileClassPath; but I'm not certain if it's a good sollution.",Resolved,Duplicate,HADOOP-4864,Unassigned,Juho M  kinen,Fri; 22 Aug 2008 12:00:02 +0000,Tue; 11 Aug 2009 07:28:08 +0000,Tue; 11 Aug 2009 07:28:08 +0000,,,,,,https://issues.apache.org/jira/browse/MAPREDUCE-9
MAPREDUCE-10,Bug,Major,,NPE in SocketChannelOutputStream during large sort benchmark,Running sort benchmark; I saw this NPE trace in the JobTracker log  ... 2007-02-04 02:07:23;753 INFO org.apache.hadoop.mapred.JobInProgress: Already complete TIP tip_0002_m_032689 has completed task task_0002_m_032689_2 2007-02-04 02:07:23;753 INFO org.apache.hadoop.mapred.TaskInProgress: Task 'task_0002_m_032689_2' has completed. 2007-02-04 02:07:24;566 WARN org.apache.hadoop.ipc.Server: handler output error 556) 2007-02-04 02:07:32;510 INFO org.apache.hadoop.mapred.JobInProgress: Task 'task_0002_m_077715_2' has completed tip_0002_m_077715 successfully. ...,Resolved,Not A Problem,,Unassigned,Nigel Daley,Mon; 5 Feb 2007 07:43:48 +0000,Sat; 31 Dec 2011 08:48:45 +0000,Sat; 31 Dec 2011 08:48:45 +0000,,,,,,https://issues.apache.org/jira/browse/MAPREDUCE-10
