ArrayOutOfIndex error in KeyFieldBasedPartitioner on empty key,Set mapred.child.ulimit automatically to the value of the RAM limits for a job; if they are set
Set mapred.child.ulimit automatically to the value of the RAM limits for a job; if they are set,TestJobTrackerRestart.testJobRecoveryWithEmptyHistory doesnt test the expected
Shuffle's getMapOutput() fails with EofException; followed by IllegalStateException,Task attempt stopped shuffling and hung the job
Task attempt stopped shuffling and hung the job,Reduce progress in the Reducer crosses 1
Bad File Descriptor in closing local file,Path separator in DistributedCache does not work between windows and unix
NPE in SocketChannelOutputStream during large sort benchmark,Cleanup JobHistory file naming to do with job recovery
Cleanup JobHistory file naming to do with job recovery,Tasks execed by the task controller shouldn't inherit tasktracker groups
Tasks execed by the task controller shouldn't inherit tasktracker groups,Mapper failed due to out of memory
Mapper failed due to out of memory,extensive map tasks failures because of SocketTimeoutException during statusUpdate
extensive map tasks failures because of SocketTimeoutException during statusUpdate,SequenceFile RecordReader should skip bad records
SequenceFile RecordReader should skip bad records,Reduce task failed at shuffling time; throwing null pointer exception
Reduce task failed at shuffling time; throwing null pointer exception,Changing priority of a completed job causes problems in JobInProgressListeners
Changing priority of a completed job causes problems in JobInProgressListeners,Under load the shuffle sometimes gets incorrect data
Under load the shuffle sometimes gets incorrect data,TaskMemoryMonitorThread is not stopped in close
TaskMemoryMonitorThread is not stopped in close,If a mapper of a map/reduce job with combiner has to spill the map output; the performance degrades significantly
Per task memory usage stats from TaskMemoryManager on mapred web ui,Start times for some tasks are missing from task reports after job tracker restart
Start times for some tasks are missing from task reports after job tracker restart,Reduce stuck in pending state for ever even though the job tracker shows a lot of free slots
Reduce stuck in pending state for ever even though the job tracker shows a lot of free slots,Non-speculative and speculative tasks for a TIP start at the same time.
Non-speculative and speculative tasks for a TIP start at the same time.,The shuffle keeps the ReduceTask locked while doing a FileSystem.rename leading to task timeouts
The shuffle keeps the ReduceTask locked while doing a FileSystem.rename leading to task timeouts,Jobs with 0 maps will never get removed from the default scheduler
TestQueueManager takes too long and times out some times,JVM reuse across task types
JVM reuse across task types,setting io.sort.factor does not have effect?
setting io.sort.factor does not have effect?,Have a better shutdown and cleanup mechanism in JobTracker
Have a better shutdown and cleanup mechanism in JobTracker,Killed task is logged as Failed upon a lost tracker
Killed task is logged as Failed upon a lost tracker,Avoid using deprecated api's
Avoid using deprecated api's,Reduce step hangs while recovering a block from bad datanode
Reduce step hangs while recovering a block from bad datanode,There can be more than 'mapred.jobtracker.completeuserjobs.maximum' jobs for a user in the jobtracker
There can be more than 'mapred.jobtracker.completeuserjobs.maximum' jobs for a user in the jobtracker,LInks in http://jobtracker/machines.jsp are broken while running hadoop locally
LInks in http://jobtracker/machines.jsp are broken while running hadoop locally,MAP_OUTPUT_BYTES counter is not recorded in Job history log for Map only jobs
MAP_OUTPUT_BYTES counter is not recorded in Job history log for Map only jobs,TaskCompletionEvents do not distinguish between FAILED and KILLED task-attempts
TaskCompletionEvents do not distinguish between FAILED and KILLED task-attempts,Task tracker should wait for the process to exit before declaring the task successful or failed.
Task tracker should wait for the process to exit before declaring the task successful or failed.,Memory management variables need a backwards compatibility option after HADOOP-5881
Memory management variables need a backwards compatibility option after HADOOP-5881,Write unit tests to verify  the fix for HADOOP-5349
Write unit tests to verify  the fix for HADOOP-5349,task trackers should not restart for having a late heartbeat
Retired jobs are not present in the job list returned to the job-client.,Hang JobTracker; running out of memory
Hang JobTracker; running out of memory,JobStatus should contain user name and carry forward start time when job is killed.
JobStatus should contain user name and carry forward start time when job is killed.,mapred/local/jobTracker is not cleanup correctly
mapred/local/jobTracker is not cleanup correctly,Tasklog servlet doesn't display any logs when logs are short
Expired launching tasks affect small jobs' execution time,JobTracker UI shows Incorrect reporter progress.
TestTaskLimits fails occassionally,KeyFieldBasedPartitioner would lost data if specifed field not exist; and it should encode free not only support utf8
KeyFieldBasedPartitioner would lost data if specifed field not exist; and it should encode free not only support utf8,JUnit tests should not create directories in the current directory
JUnit tests should not create directories in the current directory,distcp failed due to problem in creating files
distcp failed due to problem in creating files,Reduce task should stop shuffle-retrying in case of out-of-memory errors
Client recovery from Job tracker restarts and connectivity failures,Duplicate metric name getTask
Duplicate metric name getTask,'job -kill' from command line should inform if the job doesn't exist
'job -kill' from command line should inform if the job doesn't exist,Nested class TaskTracker.TaskInProgress needs additional synchronization
Nested class TaskTracker.TaskInProgress needs additional synchronization,Counters value of  reduce input records do not match map output records
Counters value of  reduce input records do not match map output records,job.xml should have high replication factor by default
job.xml should have high replication factor by default,TaskTracker falls into an infinite loop.
Map-side sort is hampered by io.sort.record.percent,TaskTrackers never (re)connect back to the JobTracker if the JobTracker node/machine is changed
TaskTrackers never (re)connect back to the JobTracker if the JobTracker node/machine is changed,The local bytes read of Mapper tasks are too high than bytes written
The local bytes read of Mapper tasks are too high than bytes written,Few tasks failed while creating the work directory for a job; when job tracker was restarted
Few tasks failed while creating the work directory for a job; when job tracker was restarted,Hadoop reduce scheduler sometimes leaves machines idle
Hadoop reduce scheduler sometimes leaves machines idle,NPE in TaskTracker RenitTrackerAction 
NPE in TaskTracker RenitTrackerAction ,Unify  the way job history filename is parsed
Unify  the way job history filename is parsed,JobClient can be constructed without initializing object state
