TestJobTrackerRestart.testJobRecoveryWithEmptyHistory doesnt test the expected,Runtimes of TestJobTrackerRestart* testcases are high again
Reduce progress in the Reducer crosses 1,Job submission has strict permission validation
Jobs with 0 maps will never get removed from the default scheduler,Deadlock in Jobtracker
Reduce task should stop shuffle-retrying in case of out-of-memory errors,Refactor reduce shuffle code
Deadlock in JobTracker initJobs,Deadlock in Jobtracker
missing userlogs,Cleanup of task-logs should happen in TaskTracker instead of the Child
Job completion delayed,All reducer tasks are finished; while some mapper tasks are still running
In PipeMarRed.java; log related fields seems useless,PipeMapRed.java has uninitialized members log_ and LOGNAME 
Handling of mapred.task.profile.params is hprof specific,FileNotFoundException when finishing a profiled task that doesn't generate an output file
After HADOOP-5420; tasks hang when the taskcontroller.cfg has multiple entries for mapred.local.dir,Per-job local data on the TaskTracker node should have right access-control
TaskTracker startup fails if any mapred.local.dir entries don't exist,TaskTracker should handle disk failures at both startup and runtime
org.apache.hadoop.mapred.TestJobDirCleanup.testJobDirCleanup timesout occasionally ,TestJobDirCleanup verifies wrong jobcache directory
TestJobInProgressListener sometimes timesout,TestJobInProgressListener brings up MinMR/DFS clusters for every test
mapred.userlog.retain.hours killing long running tasks,Cleanup of task-logs should happen in TaskTracker instead of the Child
should dump stacks before timing out task,When tasks fail to report status; show tasks's stack dump before killing
Computing Input Splits on the MR Cluster,Move split creation from submission client to MRAppMaster
limit running tasks per job,
Ability to pause/resume jobs,
"Improve the shuffle phase by using the ""connection: keep-alive"" and doing batch transfers of files",Refactor reduce shuffle code
Rack-aware Shuffle,Making reduce tasks locality-aware
Implement memory-to-memory merge in the reduce,Refactor reduce shuffle code
Multiple copies of jobconf is present in history-dir after restart,Move the completed jobs' history files to a DONE subdirectory inside the configured history directory
Reducers reported completion % is generally incorrect when consuming compressed map outputs,Job status exceeds 100% in some cases 
JobClient should check input/output specifications  before copying the job files on the DFS,The job submitter should make sure to validate jobs before creation of necessary files
TestReduceFetch failed.,TestReduceFetch failed in 0.20
-archives option in JobConf doesn't support symlink for an uncompressed archive directory,-files; -archives should honor user given symlink path
snapshot a map-reduce to DFS ... and restore,Ability to pause/resume tasks
There is little information provided when the TaskTracker kills a Task that has not reported within the timeout (600 sec) interval - this patch provides a stack trace of the task ,When tasks fail to report status; show tasks's stack dump before killing
jobID() lookup failure should notify client,"bin/hadoop job -kill command says"" job successfully killed"" even though job has retired."
DBInputFormat support for Oracle,org.apache.hadoop.mapred.lib.db.DBInputformat not working with oracle
After JobTracker restart  Capacity Schduler does not schedules pending tasks from already running tasks.,Simplify Job Recovery
Implement a config validator tool for the capacity scheduler,Configuration information should generate dump in a standard format.
large pending jobs hog resources,Support for FIFO pools in the fair scheduler
Global scheduling in the Fair Scheduler,Support for FIFO pools in the fair scheduler
Streaming job fails with with identity mapper class,Streaming overrides user given output key and value types.
streaming failed without printing out the cause (IllegalArgumentException),Streaming tests swallow exceptions
Streaming does not checks whether  -mapper option is provided or not,Streaming overrides user given output key and value types.
Streaming: better conrol over input splits,Implement a binary input/output format for Streaming
Streaming: better conrol over input splits,Support raw binary data with Hadoop streaming
Streaming has its own methods to monitor jobs. It should use the jobclient methods to monitor the jobs,streaming doesn't support jobclient.output.filter
streaming should default to KeyValueTextInputFormat with IdentityMapper,Hadoop Streaming should not use TextInputFormat class as the default input format class.
"Streaming: when a job is killed; the message should say it was ""killed"" rather than ""failed""",Job.monitorAndPrintJob() should print status of the job at completion
distcp does not skip copying file if we are updating single file,Two distcp bugs
Some testcases wait forever on a condition which might result into timeouts,JobConf will not be deleted from the logs folder if job retires from finalizeJob()
Several streaming test cases seem to be failing,Streaming tests fail with NPE in MiniDFSCluster
allow relative paths to be created inside archives.,Allow relative paths to be created inside archives.
When a  task tracker is killed; there is a Null Pointer exception thrown.,NPE in expiry thread when a TT is lost
JobConf will not be deleted from the logs folder if job retires from finalizeJob(),When a job is retired by the same user's another job; its jobconf file is not deleted from the log directory of the JobTracker 
