Increase SVN Limit for Binary Artifacts to 300MB,Use SPARK_MASTER_IP if it is set in start-slaves.sh.
JavaPairRDD should support subtractByKey,Use SPARK_MASTER_IP if it is set in start-slaves.sh.
The spark-shell will fail to start when Spark is deployed using the tar.gz file built by ./make-distribution.,Use SPARK_MASTER_IP if it is set in start-slaves.sh.
Spark Stats package: supporting common statistical estimators for Big Data,Use SPARK_MASTER_IP if it is set in start-slaves.sh.
Use SPARK_MASTER_IP if it is set in start-slaves.sh.,Removing credentials line in build.
Removing credentials line in build.,Adding dependency repos in quickstart example
Adding dependency repos in quickstart example,SparkContext.newShuffleId should be public or ShuffleDependency should set its own id
SparkContext.newShuffleId should be public or ShuffleDependency should set its own id,Disable gpg by default.
Disable gpg by default.,Access denied for LATEST_AMI_URL on 0.6 EC2 scripts
Access denied for LATEST_AMI_URL on 0.6 EC2 scripts,Let the user specify environment variables to be passed to the Executors
Let the user specify environment variables to be passed to the Executors,Change block manager to accept a ArrayBuffer
Change block manager to accept a ArrayBuffer,Adding Java documentation
Adding Java documentation,Null pointer exception when RDD size is larger than cache size
Null pointer exception when RDD size is larger than cache size,Adding code for publishing to Sonatype.
Adding code for publishing to Sonatype.,Fixed bug when fetching Jar dependencies.
Fixed bug when fetching Jar dependencies.,Making Spark version configurable in docs and updating Bagel doc
Making Spark version configurable in docs and updating Bagel doc,Support for Hadoop 2 distributions such as cdh4
Support for Hadoop 2 distributions such as cdh4,Add m1.medium node option to cluster management script.
Add m1.medium node option to cluster management script.,Document RDD api (i.e. RDD.scala)
Document RDD api (i.e. RDD.scala),Adding documentation to public API's.
Adding documentation to public API's.,Updates docs to use the new version num vars and adds Spark version in nav bar
Updates docs to use the new version num vars and adds Spark version in nav bar,Synchronization bug fix in broadcast implementations
Synchronization bug fix in broadcast implementations,Readding yarn-standalone scheduler scheme
Readding yarn-standalone scheduler scheme,Adds special version variables to docs templating system
Adds special version variables to docs templating system,Adding new download instructions
Adding new download instructions,Removes the annoying small gap above the nav menu dropdown boxes
Removes the annoying small gap above the nav menu dropdown boxes,Removing one link in quickstart
Removing one link in quickstart,Changed the println to logInfo in Utils.fetchFile.
Changed the println to logInfo in Utils.fetchFile.,Adding Sonatype releases to SBT.
Adding Sonatype releases to SBT.,Document Dependency classes and make minor interface improvements
Document Dependency classes and make minor interface improvements,"Fixed a bug in addFile that if the file is specified as ""file:///""; the symlink is created incorrectly for local mode."
"Fixed a bug in addFile that if the file is specified as ""file:///""; the symlink is created incorrectly for local mode.",Move RDD classes/files to their own package/directory
Move RDD classes/files to their own package/directory,Dev
Dev,Fix SizeEstimator tests to work with String classes in JDK 6 and 7
Fix SizeEstimator tests to work with String classes in JDK 6 and 7,Some additions to the Tuning Guide.
Some additions to the Tuning Guide.,Made Serializer and JavaSerializer non private.
Made Serializer and JavaSerializer non private.,Removes the included mesos-0.9.0.jar and pulls it from Maven Central instead
Removes the included mesos-0.9.0.jar and pulls it from Maven Central instead,Changing version of Scala in README
Changing version of Scala in README,First cut at adding documentation for GC tuning
First cut at adding documentation for GC tuning,Package-Private Classes
Package-Private Classes,Allow whitespaces in cluster URL configuration for local cluster.
Allow whitespaces in cluster URL configuration for local cluster.,Don't build spark-repl-assembly in the assembly target by default
Don't build spark-repl-assembly in the assembly target by default,"A Spark ""Quick Start"" example"
"A Spark ""Quick Start"" example",publish-local should go to maven + ivy by default
publish-local should go to maven + ivy by default,Publish local maven
Publish local maven,Fixed #232: DirectBuffer's cleaner was empty and Spark tried to invoke clean on it.
Fixed #232: DirectBuffer's cleaner was empty and Spark tried to invoke clean on it.,0.6: NPE in spark.storage.BlockManager
0.6: NPE in spark.storage.BlockManager,"Added a new command ""pl"" in sbt to publish to both Maven and Ivy."
"Added a new command ""pl"" in sbt to publish to both Maven and Ivy.",SizeEstimator gives different sizes for Strings on Java 7
SizeEstimator gives different sizes for Strings on Java 7,Added mapPartitionsWithSplit to the programming guide.
Added mapPartitionsWithSplit to the programming guide.,Allow controlling number of splits in distinct().
