Killing tasks in spark - request for comment,Killing tasks in spark
support external sort,Support external sorting for RDD#sortByKey()
Update docs to say that you need to set MESOS_NATIVE_LIBRARY when running standalone apps on Mesos,MESOS_NATIVE_LIBRARY env var needs to be set when running on Mesos
Update examples to pass JARs when building a SparkContext in 0.6 and master,Update examples to pass JAR file to SparkContext in master and 0.6 branches
Default SPARK_MEM on AMI too high,Spark runs out of memory on fork/exec (affects both pipes and python)
Add mechanism to run system management/configuration tasks on all workers,"Add a ""setup hook"" API for running initialization code on each executor"
Add mechanism to run system management/configuration tasks on all workers,Provide a utility for running a function once on each executor
Propagate exceptions from PySpark workers to the driver,PySpark should capture and re-throw Python exceptions
Implement co-partitioning aware joins in PySpark,Pyspark does not support narrow dependencies
"Executor gets stuck in a ""zombie"" state after running out of memory",Exit executors faster if they get into a cycle of heavy GC
Have a DSL or other language support for OLAP expressions,Support for optimizing and executing structured queries
Memoize results of getPreferredLocations,Exponential recursion in getPreferredLocations
Let deploy scripts set alternate conf; work directories,SPARK_CONF_DIR is not effective in spark-submit
RDD should be covariant in T,Make RDDs Covariant
LocalSparkContext should be included in Spark JAR,Move common unit test utilities into their own package / module
Multiple Spark Contexts active in a single Spark Context,Support multiple SparkContexts in the same JVM
Print a nicer error message when incompatible Spark binaries try to talk,Spark returns misleading message when client is incompatible with server
Clean up old work directories in standalone worker,Standalone Worker cleanup should not clean up running executors
add DenseVector and SparseVector to mllib; and replace all Array[Double] with Vectors,Cloudpickle does not work correctly for some methods that use a splat
ResultTask's serialization forget to handle generation,"ResultTask's serialization forget about handling ""generation"" field; while ShuffleMapTask does"
Document fair scheduler,Add docs page for fair scheduler
Killing jobs on standalone cluster,Offer user the ability to kill application in master web UI for standalone mode
Add JSON endpoints to SparkUI,REST API for Spark application info (jobs / stages / tasks / storage info)
spark_ec2 script when ssh/scp-ing should pipe UserknowHostFile to /dev/null,Ignore UserKnownHostsFile in SSH calls
spark_ec2 script when ssh/scp-ing should pipe UserknowHostFile to /dev/null,Ignore UserKnownHostsFile in SSH calls
Please publish jars for Scala 2.10,Upgrade Spark to Scala 2.10
Executors that exit cleanly should not have KILLED status,Executor state shows as KILLED even the application is finished normally
Gaussian Mixture Model,Gaussian Mixture Model clustering
Python version of Gaussian Mixture Model,Gaussian Mixture Model clustering
Latent Dirichlet Association (LDA model),parallel Latent Dirichlet Allocation (LDA) atop of spark in MLlib
When iteration in ALS increases to 10 running in local mode; spark throws out error of StackOverflowError,MLlib ALS gets stack overflow with too many iterations
Persistent web ui,Persisting Web UI through refactoring the SparkListener interface
"Seemingly spurious ""Duplicate worker ID"" error messages",Worker registration failed: Duplicate worker ID error during Master failover
Support external sorting for RDD#sortByKey(),sortByKey requires all data to fit in memory
Don't reuse Writable objects in HadoopRDDs by default,take and collect don't work on HadoopRDD
MLlib ALS gets stack overflow with too many iterations,The simple test error
Update all unit tests to use SparkConf instead of system properties,Clean up uses of System.setProperty in unit tests
Have DEVELOPERS.txt file with documentation for developers,Improve Developer Documentation
MultilogisticRegressionWithSGD,Generalize the binary logistic regression into multinomial logistic regression
take and collect don't work on HadoopRDD,Cached Hadoop RDD always return rows with the same value
SparkListener interfaces should not expose internal types/objects,Persisting Web UI through refactoring the SparkListener interface
