,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,HADOOP-1,HADOOP-2,Fixed,initial import of code from Nutch,Reused Keys and Values fail with a Combiner,1,1,1
1,HADOOP-2,HADOOP-3,Fixed,Reused Keys and Values fail with a Combiner,Output directories are not cleaned up before the reduces run,0,0,1
2,HADOOP-3,HADOOP-4,Fixed,Output directories are not cleaned up before the reduces run,tool to mount dfs on linux,0,0,1
3,HADOOP-5,HADOOP-6,Fixed,need commons-logging-api jar file,missing build directory in classpath,1,1,1
4,HADOOP-6,HADOOP-7,Fixed,missing build directory in classpath,MapReduce has a series of problems concerning task-allocation to worker nodes,1,0,1
5,HADOOP-7,HADOOP-8,Fixed,MapReduce has a series of problems concerning task-allocation to worker nodes,NDFS DataNode advertises localhost as it's address,1,1,1
6,HADOOP-8,HADOOP-9,Won't Fix,NDFS DataNode advertises localhost as it's address,mapred.local.dir  temp dir. space allocation limited by smallest area,1,0,1
7,HADOOP-9,HADOOP-10,Fixed,mapred.local.dir  temp dir. space allocation limited by smallest area,ndfs.replication is not documented within the nutch-default.xml configuration file.,1,0,1
8,HADOOP-10,HADOOP-12,Fixed,ndfs.replication is not documented within the nutch-default.xml configuration file.,InputFormat used in job must be in JobTracker classpath (not loaded from job JAR),0,0,1
9,HADOOP-12,HADOOP-12,Fixed,InputFormat used in job must be in JobTracker classpath (not loaded from job JAR),InputFormat used in job must be in JobTracker classpath (not loaded from job JAR),1,1,1
10,HADOOP-12,HADOOP-16,Fixed,InputFormat used in job must be in JobTracker classpath (not loaded from job JAR),RPC call times out while indexing map task is computing splits,0,0,1
11,HADOOP-16,HADOOP-16,Fixed,RPC call times out while indexing map task is computing splits,RPC call times out while indexing map task is computing splits,1,1,1
12,HADOOP-16,HADOOP-16,Fixed,RPC call times out while indexing map task is computing splits,RPC call times out while indexing map task is computing splits,1,1,1
13,HADOOP-16,HADOOP-17,Fixed,RPC call times out while indexing map task is computing splits,tool to mount ndfs on linux,0,0,1
14,HADOOP-18,HADOOP-19,Invalid,Crash with multiple temp directories,Datanode corruption,1,1,1
15,HADOOP-20,HADOOP-21,Fixed,Mapper; Reducer need an occasion to cleanup after the last record is processed.,the webapps need to be updated for the move from nutch,1,0,1
16,HADOOP-21,HADOOP-22,Fixed,the webapps need to be updated for the move from nutch,remove unused imports,1,0,1
17,HADOOP-22,HADOOP-23,Fixed,remove unused imports,single node cluster gets one reducer,1,0,1
18,HADOOP-23,HADOOP-24,Won't Fix,single node cluster gets one reducer,make Configuration an interface,0,0,1
19,HADOOP-24,HADOOP-25,Won't Fix,make Configuration an interface,a new map/reduce example and moving the examples from src/java to src/examples,0,0,1
20,HADOOP-25,HADOOP-26,Fixed,a new map/reduce example and moving the examples from src/java to src/examples,DFS node choice doesn't take available space into account effectively,1,0,1
21,HADOOP-26,HADOOP-27,Fixed,DFS node choice doesn't take available space into account effectively,MapRed tries to allocate tasks to nodes that have no available disk space,1,1,1
22,HADOOP-28,HADOOP-29,Fixed,webapps broken,JobConf newInstance() method imposes a default constructor,1,0,1
23,HADOOP-29,HADOOP-30,Won't Fix,JobConf newInstance() method imposes a default constructor,DFS shell: support for ls -r and cat,1,0,1
24,HADOOP-30,HADOOP-31,Fixed,DFS shell: support for ls -r and cat,Stipulate main class in a job jar when using 'hadoop jar JARNAME',1,0,1
25,HADOOP-31,HADOOP-32,Won't Fix,Stipulate main class in a job jar when using 'hadoop jar JARNAME',Creating job with InputDir set to non-existant directory locks up jobtracker,1,0,1
