,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,HDFS-2,HDFS-3,Incomplete,IllegalMonitorStateException in DataNode shutdown,processIOError() may cause infinite loop.,1,1,1
1,HDFS-3,HDFS-4,Not A Problem,processIOError() may cause infinite loop.,DF should use used + available as the capacity of this volume,1,1,1
2,HDFS-4,HDFS-5,Won't Fix,DF should use used + available as the capacity of this volume,Check that network topology is updated when new data-nodes are joining the cluster,1,1,1
3,HDFS-5,HDFS-6,Cannot Reproduce,Check that network topology is updated when new data-nodes are joining the cluster,in FSNamesystem.registerDatanode; dnAddress should be resolved (rarely occured),1,0,1
4,HDFS-6,HDFS-7,Won't Fix,in FSNamesystem.registerDatanode; dnAddress should be resolved (rarely occured),NotReplicatedYetException is handled incorrectly in DFSClient,1,1,1
5,HDFS-7,HDFS-8,Unresolved,NotReplicatedYetException is handled incorrectly in DFSClient,Interrupting the namenode thread triggers System.exit(),1,1,1
6,HDFS-8,HDFS-9,Cannot Reproduce,Interrupting the namenode thread triggers System.exit(),distcp job failed,1,0,1
7,HDFS-9,HDFS-10,Incomplete,distcp job failed,DFS logging in NameSystem.pendingTransfer consumes all disk space,1,1,1
8,HDFS-10,HDFS-11,Won't Fix,DFS logging in NameSystem.pendingTransfer consumes all disk space,Tests fail on windows due to BindException.,1,1,1
9,HDFS-11,HDFS-12,Cannot Reproduce,Tests fail on windows due to BindException.,hadoop dfs -put does not return nonzero status on failure,1,1,1
10,HDFS-12,HDFS-13,Not A Problem,hadoop dfs -put does not return nonzero status on failure,filenames with ':' colon throws java.lang.IllegalArgumentException,1,1,1
11,HDFS-14,HDFS-15,Unresolved,DFSClient should timeout on long writes,Rack replication policy can be violated for over replicated blocks ,1,0,1
12,HDFS-15,HDFS-16,Fixed,Rack replication policy can be violated for over replicated blocks ,Data transfer buffer length in DFSOutputStream should not be user controlled.,1,0,1
13,HDFS-16,HDFS-17,Unresolved,Data transfer buffer length in DFSOutputStream should not be user controlled.,HDFS FileStatus.getPermission() should return 777 when dfs.permissions=false,1,1,1
14,HDFS-17,HDFS-18,Won't Fix,HDFS FileStatus.getPermission() should return 777 when dfs.permissions=false,NameNode startup failed,1,1,1
15,HDFS-18,HDFS-19,Cannot Reproduce,NameNode startup failed,Unhandled exceptions in DFSClient,1,1,1
16,HDFS-19,HDFS-20,Invalid,Unhandled exceptions in DFSClient,fsck <path> -delete doesn't report failures,1,1,1
17,HDFS-20,HDFS-21,Not A Problem,fsck <path> -delete doesn't report failures,unresponsive namenode because of not finding places to replicate,1,1,1
18,HDFS-21,HDFS-22,Won't Fix,unresponsive namenode because of not finding places to replicate,Help information of refreshNodes does not show how to decomission nodes,1,1,1
19,HDFS-22,HDFS-23,Not A Problem,Help information of refreshNodes does not show how to decomission nodes,many filelist calls to large directory killing the namenode,1,1,1
20,HDFS-24,HDFS-25,Fixed,FSDataOutputStream should flush last partial CRC chunk,The FSDirectory should not have waitForReady,1,1,1
21,HDFS-25,HDFS-26,Incomplete,The FSDirectory should not have waitForReady,   HADOOP-5862 for version .20  (Namespace quota exceeded message unclear),1,1,1
