,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,HDFS-13,HDFS-2557,Duplicate,filenames with ':' colon throws java.lang.IllegalArgumentException,Naming convention for files being moved into HDFS,1,0,1
1,HDFS-23,HDFS-985,Duplicate,many filelist calls to large directory killing the namenode,HDFS should issue multiple RPCs for listing a large directory,1,1,1
2,HDFS-48,HDFS-2251,Duplicate,NN should check a block's length even if the block is not a new block when processing a blockreport,Namenode does not recognize incorrectly sized blocks,1,1,1
3,HDFS-52,HDFS-903,Duplicate,SecondaryNameNode should validate the downloaded files.,NN should verify images and edit logs on startup,0,0,1
4,HDFS-89,HDFS-366,Duplicate,Datanode should verify block sizes vs metadata on startup,Support manually fsck in DataNode,1,1,1
5,HDFS-90,HDFS-1594,Duplicate,dfs.name.dir disk full,When the disk becomes full Namenode is getting shutdown and not able to recover,0,0,1
6,HDFS-96,HDFS-99,Fixed,HDFS does not support blocks greater than 2GB,large dfs.block.size doesn't work,1,0,1
7,HDFS-101,HDFS-795,Fixed,DFS write pipeline : DFSClient sometimes does not detect second datanode failure ,DFS Write pipeline does not detect defective datanode correctly in some cases (HADOOP-3339),0,0,1
8,HDFS-125,HDFS-591,Unresolved,Consistency of different replicas of the same block is not checked.,Namenode should mark the replica as corrupted if a DN has reported different length of a Complete block,0,1,1
9,HDFS-133,HDFS-988,Duplicate,setPermssion locks FSNamesystem across logSync.,saveNamespace race can corrupt the edits log,0,0,1
10,HDFS-138,HDFS-457,Duplicate,data node process should not die if one dir goes bad,better handling of volume failure in Data Node storage,0,1,1
11,HDFS-140,HDFS-1924,Won't Fix,When a file is deleted; its blocks remain in the blocksmap till the next block report from Datanode,Block information displayed in UI is incorrect ,0,0,1
12,HDFS-140,HDFS-1230,Won't Fix,When a file is deleted; its blocks remain in the blocksmap till the next block report from Datanode,BlocksMap.blockinfo is not getting cleared immediately after deleting a block.This will be cleared only after block report comes from the datanode.Why we need to maintain the blockinfo till that time.,0,1,1
13,HDFS-147,HDFS-2360,Duplicate,Stack trace on spaceQuota excced .,Ugly stacktrace when quota exceeds,0,0,1
14,HDFS-159,HDFS-2379,Duplicate,Block reports should be processed offline,0.20: Allow block reports to proceed without holding FSDataset lock,0,0,1
15,HDFS-172,HDFS-777,Not A Problem,Quota exceed exception creates file of size 0,A zero size file is created when SpaceQuota exceeded,1,1,1
16,HDFS-172,HDFS-4793,Not A Problem,Quota exceed exception creates file of size 0,uploading file larger than the spaceQuota limit should not create 0 byte file,0,1,1
17,HDFS-205,HDFS-6382,Duplicate,HDFS Tmpreaper,HDFS File/Directory TTL,0,0,1
18,HDFS-209,HDFS-1448,Duplicate,Provide tool to view/change edits file,Create multi-format parser for edits logs file; support binary and XML formats initially,0,1,1
19,HDFS-209,HDFS-312,Duplicate,Provide tool to view/change edits file,FSEditLog dump/restore tool,1,0,1
20,HDFS-210,HDFS-6634,Duplicate,API to get changes to the File System at NN for a window of time,inotify in HDFS,0,1,1
21,HDFS-210,HDFS-2760,Duplicate,API to get changes to the File System at NN for a window of time,HDFS notification ,1,0,1
22,HDFS-214,HDFS-294,Unresolved,Random Write Access On Files,Random writes in HDFS,1,1,1
23,HDFS-221,HDFS-366,Duplicate,Trigger block scans for datanode,Support manually fsck in DataNode,1,1,1
24,HDFS-225,HDFS-2178,Unresolved,Expose HDFS as a WebDAV store,HttpFS - a read/write Hadoop file system proxy,1,1,1
25,HDFS-233,HDFS-2802,Fixed,Support for snapshots,Support for RW/RO snapshots in HDFS,0,1,1
26,HDFS-243,HDFS-1064,Duplicate,Namenode cluster(multi namenode working in active-active mode) to keep high availability and expansivity,NN Availability - umbrella Jira,1,1,1
27,HDFS-243,HDFS-1052,Duplicate,Namenode cluster(multi namenode working in active-active mode) to keep high availability and expansivity,HDFS scalability with multiple namenodes,0,1,1
28,HDFS-251,HDFS-782,Duplicate,Automatically increase replication of often used files/blocks,dynamic replication,1,1,1
29,HDFS-252,HDFS-4750,Duplicate,Export the HDFS file system through a NFS protocol,Support NFSv3 interface to HDFS,0,1,1
30,HDFS-253,HDFS-2711,Unresolved,Method to retrieve all quotas active on HDFS,getAllHdfsQuotas() API,1,1,1
31,HDFS-276,HDFS-903,Duplicate,Checksums for Namenode image files,NN should verify images and edit logs on startup,0,0,1
32,HDFS-281,HDFS-2246,Won't Fix,Explore usage of the sendfile api via java.nio.channels.FileChannel.transfer{To|From} for i/o in datanodes,Shortcut a local client reads to a Datanodes files directly,1,1,1
33,HDFS-289,HDFS-324,Unresolved,HDFS should blacklist datanodes that are not performing well,Generate a network infrastructre map,1,1,1
34,HDFS-309,HDFS-322,Fixed,FSEditLog should log progress during replay,While digesting edits NameNode should report its progress,1,1,1
35,HDFS-311,HDFS-1580,Duplicate,Modifications to enable multiple types of logging ,Add interface for generic Write Ahead Logging mechanisms,0,1,1
36,HDFS-312,HDFS-1448,Duplicate,FSEditLog dump/restore tool,Create multi-format parser for edits logs file; support binary and XML formats initially,0,0,1
37,HDFS-334,HDFS-10330,Duplicate,dfsadmin -metasave should also log corrupt replicas info,Add Corrupt Blocks Information in Metasave Output,0,0,1
38,HDFS-341,HDFS-930,Duplicate,Better error message for DATA_TRANSFER_VERSION mismatched,o.a.h.hdfs.server.datanode.DataXceiver - run() - Version mismatch exception - more context to help debugging,0,0,1
39,HDFS-342,HDFS-4067,Duplicate,Reduce time taken to run TestUnderReplicatedBlocks ,TestUnderReplicatedBlocks may fail due to ReplicaAlreadyExistsException,0,1,1
40,HADOOP-7713,HDFS-11801,Fixed,dfs -count -q should label output column,Extra argument for header in dfs -count output,0,0,1
41,HDFS-380,HDFS-941,Duplicate,support for persistent connections to improve random read performance.,Datanode xceiver protocol should allow reuse of a connection,0,1,1
42,HDFS-411,HDFS-856,Duplicate,parameter dfs.replication is not reflected when put file into hadoop with fuse-dfs,Hardcoded replication level for new files in fuse-dfs,0,0,1
43,HDFS-420,HDFS-422,Fixed,Fuse-dfs should cache fs handles,fuse-dfs leaks FileSystem handles as it never disconnects them because the FileSystem.Cache does not do reference counting,1,0,1
44,HDFS-440,HDFS-449,Fixed,javadoc warnings: broken links,javadoc warnings ,0,1,1
45,HDFS-467,HDFS-829,Duplicate,Fix a compiling error for libhdfs on Mac OSX,hdfsJniHelper.c: #include <error.h> is not portable,1,1,1
46,HDFS-481,HDFS-1009,Fixed,Bug Fixes + HdfsProxy to use proxy user to impresonate the real user,Support Kerberos authorization in HDFSProxy,1,1,1
47,HDFS-487,HDFS-4489,Duplicate,HDFS should expose a fileid to uniquely identify a file,Use InodeID as as an identifier of a file in HDFS protocols and APIs,0,1,1
48,HDFS-490,HDFS-499,Fixed,eliminate the usage of FileSystem.create( ) depracated by Hadoop-5438 ,Fix deprecation warnings introduced by HADOOP-5438,0,0,1
49,HDFS-522,HDFS-708,Duplicate,Create stress tests for append feature,A stress-test tool for HDFS.,0,1,1
50,HDFS-558,HDFS-1199,Duplicate,Provide build target to run just those tests not in ten-minute-test set,Extract a subset of tests for smoke (DOA) validation.,0,1,1
51,HDFS-573,HDFS-5642,Fixed,Porting libhdfs to Windows,libhdfs Windows compatibility.,1,1,1
52,HDFS-593,HDFS-6959,Duplicate,Support for getting user home dir from server side,Make the HDFS home directory location customizable.,0,0,1
53,HDFS-608,HDFS-881,Duplicate,BlockReceiver:receivePacket(): packet's header parsing logic is complicated. Refactoring will help w/ testing efforts,Refactor DataNode Packet header into DataTransferProtocol,1,1,1
54,HDFS-647,HDFS-653,Fixed,Internal server errors,Multiple unit tests fail in branch-0.21,0,0,1
55,HDFS-664,HDFS-1362,Duplicate,Add a way to efficiently replace a disk in a live datanode,Provide volume management functionality for DataNode,1,1,1
56,HDFS-707,HDFS-736,Duplicate,Remove unused method INodeFile.toINodeFileUnderConstruction(),commitBlockSynchronization() should directly update block GS and length.,1,1,1
57,HDFS-721,HDFS-6123,Duplicate,ERROR Block blk_XXX_1030 already exists in state RBW and thus cannot be created,Improve datanode error messages,0,0,1
58,HDFS-733,HDFS-1806,Duplicate,TestBlockReport fails intermittently,TestBlockReport.blockReport_08() and _09() are timing-dependent and likely to fail on fast servers,0,1,1
59,HDFS-756,HDFS-769,Fixed,libhdfs unit tests do not run ,test-c++-libhdfs constantly fails,0,0,1
60,HDFS-772,HDFS-5798,Unresolved,DFSClient.getFileChecksum(..) computes file md5 with extra padding,DFSClient uses non-valid data when computing file checksum,1,1,1
61,HDFS-832,HDFS-837,Fixed,HDFS side of HADOOP-6222. ,TestHDFSCLI failing after HADOOP-6222,1,0,1
62,HDFS-843,HDFS-2316,Duplicate,Add HTTP POST/PUT/DELETE support for web servers in datanodes,[umbrella] WebHDFS: a complete FileSystem implementation for accessing HDFS over HTTP,0,1,1
63,HDFS-855,HDFS-1071,Duplicate,namenode can save images in parallel to all directories in fs.name.dir,savenamespace should write the fsimage to all configured fs.name.dir in parallel,1,1,1
64,HDFS-866,HDFS-6254,Cannot Reproduce,libhdfs with gdb got SEGV,hdfsConnect segment fault where namenode not connected,1,1,1
65,HDFS-874,HDFS-1470,Fixed,TestHDFSFileContextMainOperations fails on weirdly configured DNS hosts,TestFileStatus fails on some hosts,1,1,1
66,HDFS-875,HDFS-900,Duplicate,NameNode incorretly handles corrupt replicas,Corrupt replicas are not tracked correctly through block report from DN,0,1,1
67,HDFS-940,HDFS-1000,Duplicate,libhdfs uses UnixUserGroupInformation,libhdfs needs to be updated to use the new UGI,0,1,1
68,HDFS-952,HDFS-2436,Duplicate,FSNamesystem.setTimes fails on directory,FSNamesystem.setTimes(..) expects the path is a file.,1,1,1
69,HDFS-953,HDFS-1806,Duplicate,TestBlockReport times out intermittently,TestBlockReport.blockReport_08() and _09() are timing-dependent and likely to fail on fast servers,0,1,1
70,HDFS-956,HDFS-988,Duplicate,Improper synchronization in some FSNamesystem methods,saveNamespace race can corrupt the edits log,0,0,1
71,HDFS-962,HDFS-7260,Duplicate,Make DFSOutputStream MAX_PACKETS configurable,Make DFSOutputStream.MAX_PACKETS configurable,1,1,1
72,HDFS-963,HDFS-965,Duplicate,TestDelegationToken unit test throws error,TestDelegationToken fails in trunk,0,1,1
73,HDFS-974,HDFS-1298,Duplicate,FileSystem.Statistics should include NN accesses from the clients,Add support in HDFS to update statistics that tracks number of file system operations in FileSystem,0,1,1
74,HDFS-976,HDFS-1623,Duplicate,Hot Standby for NameNode,High Availability Framework for HDFS NN,0,1,1
75,HDFS-978,HDFS-1108,Duplicate,Record every new block allocation of a file into the transaction log.,Log newly allocated blocks,0,1,1
76,HDFS-980,HDFS-1093,Duplicate,Convert FSNamesystem lock to ReadWriteLock,Improve namenode scalability by splitting the FSNamesystem synchronized section in a read/write lock,1,1,1
77,HDFS-988,HDFS-1775,Fixed,saveNamespace race can corrupt the edits log,getContentSummary should hold the FSNamesystem readlock,0,0,1
78,HDFS-1035,HDFS-1063,Fixed,Generate Eclipse's .classpath file from Ivy config,Eclipse .classpath file should be generated from Ivy files to avoid duplicating dependencies,1,0,1
