,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,MAPREDUCE-2,MAPREDUCE-3,Fixed,ArrayOutOfIndex error in KeyFieldBasedPartitioner on empty key,Set mapred.child.ulimit automatically to the value of the RAM limits for a job; if they are set,1,1,1
1,MAPREDUCE-3,MAPREDUCE-4,Fixed,Set mapred.child.ulimit automatically to the value of the RAM limits for a job; if they are set,TestJobTrackerRestart.testJobRecoveryWithEmptyHistory doesnt test the expected,1,1,1
2,MAPREDUCE-5,MAPREDUCE-6,Not A Problem,Shuffle's getMapOutput() fails with EofException; followed by IllegalStateException,Task attempt stopped shuffling and hung the job,1,1,1
3,MAPREDUCE-6,MAPREDUCE-7,Not A Problem,Task attempt stopped shuffling and hung the job,Reduce progress in the Reducer crosses 1,1,1,1
4,MAPREDUCE-8,MAPREDUCE-9,Not A Problem,Bad File Descriptor in closing local file,Path separator in DistributedCache does not work between windows and unix,1,1,1
5,MAPREDUCE-10,MAPREDUCE-11,Not A Problem,NPE in SocketChannelOutputStream during large sort benchmark,Cleanup JobHistory file naming to do with job recovery,1,1,1
6,MAPREDUCE-11,MAPREDUCE-12,Invalid,Cleanup JobHistory file naming to do with job recovery,Tasks execed by the task controller shouldn't inherit tasktracker groups,1,1,1
7,MAPREDUCE-12,MAPREDUCE-13,Fixed,Tasks execed by the task controller shouldn't inherit tasktracker groups,Mapper failed due to out of memory,1,1,1
8,MAPREDUCE-13,MAPREDUCE-14,Not A Problem,Mapper failed due to out of memory,extensive map tasks failures because of SocketTimeoutException during statusUpdate,1,1,1
9,MAPREDUCE-14,MAPREDUCE-15,Not A Problem,extensive map tasks failures because of SocketTimeoutException during statusUpdate,SequenceFile RecordReader should skip bad records,1,1,1
10,MAPREDUCE-15,MAPREDUCE-16,Unresolved,SequenceFile RecordReader should skip bad records,Reduce task failed at shuffling time; throwing null pointer exception,1,1,1
11,MAPREDUCE-16,MAPREDUCE-17,Not A Problem,Reduce task failed at shuffling time; throwing null pointer exception,Changing priority of a completed job causes problems in JobInProgressListeners,1,1,1
12,MAPREDUCE-17,MAPREDUCE-18,Not A Problem,Changing priority of a completed job causes problems in JobInProgressListeners,Under load the shuffle sometimes gets incorrect data,1,0,1
13,MAPREDUCE-18,MAPREDUCE-19,Fixed,Under load the shuffle sometimes gets incorrect data,TaskMemoryMonitorThread is not stopped in close,1,0,1
14,MAPREDUCE-19,MAPREDUCE-20,Not A Problem,TaskMemoryMonitorThread is not stopped in close,If a mapper of a map/reduce job with combiner has to spill the map output; the performance degrades significantly,1,1,1
15,MAPREDUCE-22,MAPREDUCE-23,Invalid,Per task memory usage stats from TaskMemoryManager on mapred web ui,Start times for some tasks are missing from task reports after job tracker restart,1,1,1
16,MAPREDUCE-23,MAPREDUCE-24,Not A Problem,Start times for some tasks are missing from task reports after job tracker restart,Reduce stuck in pending state for ever even though the job tracker shows a lot of free slots,1,1,1
17,MAPREDUCE-24,MAPREDUCE-25,Not A Problem,Reduce stuck in pending state for ever even though the job tracker shows a lot of free slots,Non-speculative and speculative tasks for a TIP start at the same time.,1,1,1
18,MAPREDUCE-25,MAPREDUCE-26,Invalid,Non-speculative and speculative tasks for a TIP start at the same time.,The shuffle keeps the ReduceTask locked while doing a FileSystem.rename leading to task timeouts,1,1,1
19,MAPREDUCE-26,MAPREDUCE-27,Not A Problem,The shuffle keeps the ReduceTask locked while doing a FileSystem.rename leading to task timeouts,Jobs with 0 maps will never get removed from the default scheduler,1,1,1
20,MAPREDUCE-28,MAPREDUCE-29,Fixed,TestQueueManager takes too long and times out some times,JVM reuse across task types,0,1,1
21,MAPREDUCE-29,MAPREDUCE-30,Invalid,JVM reuse across task types,setting io.sort.factor does not have effect?,1,1,1
22,MAPREDUCE-30,MAPREDUCE-31,Invalid,setting io.sort.factor does not have effect?,Have a better shutdown and cleanup mechanism in JobTracker,1,1,1
23,MAPREDUCE-31,MAPREDUCE-32,Not A Problem,Have a better shutdown and cleanup mechanism in JobTracker,Killed task is logged as Failed upon a lost tracker,1,1,1
24,MAPREDUCE-32,MAPREDUCE-33,Not A Problem,Killed task is logged as Failed upon a lost tracker,Avoid using deprecated api's,1,1,1
