,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,MAPREDUCE-4,MAPREDUCE-237,Duplicate,TestJobTrackerRestart.testJobRecoveryWithEmptyHistory doesnt test the expected,Runtimes of TestJobTrackerRestart* testcases are high again,1,1,1
1,MAPREDUCE-7,MAPREDUCE-5210,Duplicate,Reduce progress in the Reducer crosses 1,Job submission has strict permission validation,1,1,1
2,MAPREDUCE-27,MAPREDUCE-805,Duplicate,Jobs with 0 maps will never get removed from the default scheduler,Deadlock in Jobtracker,1,1,1
3,MAPREDUCE-55,MAPREDUCE-318,Duplicate,Reduce task should stop shuffle-retrying in case of out-of-memory errors,Refactor reduce shuffle code,0,1,1
4,MAPREDUCE-73,MAPREDUCE-805,Duplicate,Deadlock in JobTracker initJobs,Deadlock in Jobtracker,1,0,1
5,MAPREDUCE-81,MAPREDUCE-927,Duplicate,missing userlogs,Cleanup of task-logs should happen in TaskTracker instead of the Child,0,1,1
6,MAPREDUCE-83,MAPREDUCE-114,Duplicate,Job completion delayed,All reducer tasks are finished; while some mapper tasks are still running,1,1,1
7,MAPREDUCE-95,MAPREDUCE-1864,Duplicate,In PipeMarRed.java; log related fields seems useless,PipeMapRed.java has uninitialized members log_ and LOGNAME ,1,1,1
8,MAPREDUCE-105,MAPREDUCE-420,Unresolved,Handling of mapred.task.profile.params is hprof specific,FileNotFoundException when finishing a profiled task that doesn't generate an output file,1,0,1
9,MAPREDUCE-131,MAPREDUCE-842,Duplicate,After HADOOP-5420; tasks hang when the taskcontroller.cfg has multiple entries for mapred.local.dir,Per-job local data on the TaskTracker node should have right access-control,0,1,1
10,MAPREDUCE-134,MAPREDUCE-2413,Duplicate,TaskTracker startup fails if any mapred.local.dir entries don't exist,TaskTracker should handle disk failures at both startup and runtime,0,1,1
11,MAPREDUCE-137,MAPREDUCE-1494,Duplicate,org.apache.hadoop.mapred.TestJobDirCleanup.testJobDirCleanup timesout occasionally ,TestJobDirCleanup verifies wrong jobcache directory,0,0,1
12,MAPREDUCE-153,MAPREDUCE-631,Fixed,TestJobInProgressListener sometimes timesout,TestJobInProgressListener brings up MinMR/DFS clusters for every test,1,0,1
13,MAPREDUCE-158,MAPREDUCE-927,Duplicate,mapred.userlog.retain.hours killing long running tasks,Cleanup of task-logs should happen in TaskTracker instead of the Child,0,1,1
14,MAPREDUCE-202,MAPREDUCE-1119,Duplicate,should dump stacks before timing out task,When tasks fail to report status; show tasks's stack dump before killing,0,1,1
15,MAPREDUCE-207,MAPREDUCE-5887,Unresolved,Computing Input Splits on the MR Cluster,Move split creation from submission client to MRAppMaster,0,1,1
16,MAPREDUCE-224,MAPREDEUCE-5583,Duplicate,limit running tasks per job,,0,0,1
17,MAPREDUCE-227,MAPREDUCE-828,Duplicate,Ability to pause/resume jobs,,0,0,1
18,MAPREDUCE-240,MAPREDUCE-318,Duplicate,"Improve the shuffle phase by using the ""connection: keep-alive"" and doing batch transfers of files",Refactor reduce shuffle code,0,1,1
19,MAPREDUCE-259,MAPREDUCE-2038,Duplicate,Rack-aware Shuffle,Making reduce tasks locality-aware,1,1,1
20,MAPREDUCE-268,MAPREDUCE-318,Duplicate,Implement memory-to-memory merge in the reduce,Refactor reduce shuffle code,0,1,1
21,MAPREDUCE-276,MAPREDUCE-416,Duplicate,Multiple copies of jobconf is present in history-dir after restart,Move the completed jobs' history files to a DONE subdirectory inside the configured history directory,1,1,1
22,MAPREDUCE-428,MAPREDUCE-2264,Duplicate,Reducers reported completion % is generally incorrect when consuming compressed map outputs,Job status exceeds 100% in some cases ,0,0,1
23,MAPREDUCE-432,MAPREDUCE-2384,Duplicate,JobClient should check input/output specifications  before copying the job files on the DFS,The job submitter should make sure to validate jobs before creation of necessary files,0,0,1
24,MAPREDUCE-433,MAPREDUCE-1172,Fixed,TestReduceFetch failed.,TestReduceFetch failed in 0.20,1,1,1
25,MAPREDUCE-440,MAPREDUCE-787,Duplicate,-archives option in JobConf doesn't support symlink for an uncompressed archive directory,-files; -archives should honor user given symlink path,0,0,1
26,MAPREDUCE-443,MAPREDUCE-457,Duplicate,snapshot a map-reduce to DFS ... and restore,Ability to pause/resume tasks,1,1,1
27,MAPREDUCE-449,MAPREDUCE-1119,Duplicate,There is little information provided when the TaskTracker kills a Task that has not reported within the timeout (600 sec) interval - this patch provides a stack trace of the task ,When tasks fail to report status; show tasks's stack dump before killing,0,0,1
28,MAPREDUCE-485,MAPREDUCE-984,Incomplete,jobID() lookup failure should notify client,"bin/hadoop job -kill command says"" job successfully killed"" even though job has retired.",0,0,1
29,MAPREDUCE-487,MAPREDUCE-716,Duplicate,DBInputFormat support for Oracle,org.apache.hadoop.mapred.lib.db.DBInputformat not working with oracle,1,0,1
30,MAPREDUCE-521,MAPREDUCE-873,Duplicate,After JobTracker restart  Capacity Schduler does not schedules pending tasks from already running tasks.,Simplify Job Recovery,0,1,1
31,MAPREDUCE-539,MAPREDUCE-768,Duplicate,Implement a config validator tool for the capacity scheduler,Configuration information should generate dump in a standard format.,1,1,1
32,MAPREDUCE-543,MAPREDUCE-706,Duplicate,large pending jobs hog resources,Support for FIFO pools in the fair scheduler,0,1,1
33,MAPREDUCE-548,MAPREDUCE-706,Duplicate,Global scheduling in the Fair Scheduler,Support for FIFO pools in the fair scheduler,0,1,1
34,MAPREDUCE-570,MAPREDUCE-1888,Duplicate,Streaming job fails with with identity mapper class,Streaming overrides user given output key and value types.,1,0,1
35,MAPREDUCE-588,MAPREDUCE-1155,Duplicate,streaming failed without printing out the cause (IllegalArgumentException),Streaming tests swallow exceptions,1,1,1
36,MAPREDUCE-592,MAPREDUCE-1888,Duplicate,Streaming does not checks whether  -mapper option is provided or not,Streaming overrides user given output key and value types.,1,0,1
37,MAPREDUCE-598,MAPREDUCE-606,Fixed,Streaming: better conrol over input splits,Implement a binary input/output format for Streaming,1,1,1
38,MAPREDUCE-598,MAPREDUCE-5018,Fixed,Streaming: better conrol over input splits,Support raw binary data with Hadoop streaming,1,0,1
39,MAPREDUCE-607,MAPREDUCE-1773,Duplicate,Streaming has its own methods to monitor jobs. It should use the jobclient methods to monitor the jobs,streaming doesn't support jobclient.output.filter,1,0,1
40,MAPREDUCE-612,MAPREDUCE-1766,Duplicate,streaming should default to KeyValueTextInputFormat with IdentityMapper,Hadoop Streaming should not use TextInputFormat class as the default input format class.,1,0,1
41,MAPREDUCE-616,MAPREDUCE-1811,Duplicate,"Streaming: when a job is killed; the message should say it was ""killed"" rather than ""failed""",Job.monitorAndPrintJob() should print status of the job at completion,0,0,1
42,MAPREDUCE-644,MAPREDUCE-648,Duplicate,distcp does not skip copying file if we are updating single file,Two distcp bugs,1,0,1
43,MAPREDUCE-681,MAPREDUCE-757,Duplicate,Some testcases wait forever on a condition which might result into timeouts,JobConf will not be deleted from the logs folder if job retires from finalizeJob(),0,1,1
44,MAPREDUCE-699,MAPREDUCE-891,Cannot Reproduce,Several streaming test cases seem to be failing,Streaming tests fail with NPE in MiniDFSCluster,0,1,1
45,MAPREDUCE-730,MAPREDUCE-739,Duplicate,allow relative paths to be created inside archives.,Allow relative paths to be created inside archives.,1,1,1
46,MAPREDUCE-746,MAPREDUCE-754,Duplicate,When a  task tracker is killed; there is a Null Pointer exception thrown.,NPE in expiry thread when a TT is lost,1,1,1
47,MAPREDUCE-757,MAPREDUCE-2714,Duplicate,JobConf will not be deleted from the logs folder if job retires from finalizeJob(),When a job is retired by the same user's another job; its jobconf file is not deleted from the log directory of the JobTracker ,0,1,1
48,MAPREDUCE-783,MAPREDUCE-816,Duplicate,"Rename Sqoop ""local"" transfer to ""direct""","Rename ""local"" mysql import to ""direct""",1,1,1
49,MAPREDUCE-860,MAPREDUCE-861,Duplicate,Modify Queue APIs to support a hierarchy of queues,Modify queue configuration format and parsing to support a hierarchy of queues.,1,1,1
50,MAPREDUCE-865,MAPREDUCE-2459,Duplicate,harchive: Reduce the number of open calls  to _index and _masterindex ,Cache HAR filesystem metadata,1,0,1
51,MAPREDUCE-872,MAPREDUCE-877,Duplicate,Streaming tests in a clean workspace fail because of avro dependency.,Required avro class are missing in contrib projects,1,0,1
52,MAPREDUCE-989,MAPREDUCE-1843,Unresolved,Allow segregation of DistributedCache for maps and reduces,Allow for map and reduce specific DistributedCache artifacts,1,1,1
53,MAPREDUCE-1023,MAPREDUCE-1108,Duplicate,Newly introduced findBugs warnings should be suppressed,Modify test-patch.sh to verify that the number of findBugs warning is always zero,1,1,1
54,MAPREDUCE-1039,MAPREDUCE-1404,Duplicate,cluster_setup.xml exists in both mapreduce and common projects,Cluster-Setup and Single-Node-Setup Docs ,1,1,1
55,MAPREDUCE-1045,MAPREDUCE-1725,Duplicate,Changes to deprecated interfaces break Hive,Fix MapReduce API incompatibilities between 0.20 and 0.21,0,0,1
56,MAPREDUCE-1053,MAPREDUCE-1062,Duplicate,MRReliabilityTest does not kill/fail tasks if history is enabled,MRReliability test does not work with retired jobs,0,0,1
57,MAPREDUCE-1057,MAPREDUCE-1647,Unresolved,java tasks are not honouring the value of mapred.userlog.limit.kb,JvmEnv miss logSize argument,1,1,1
58,MAPREDUCE-1080,MAPREDUCE-1105,Duplicate,Properties max.map.slots and max.reduce.slots should be hyphenated.,CapacityScheduler: It should be possible to set queue hard-limit beyond it's actual capacity,1,0,1
59,MAPREDUCE-1082,MAPREDUCE-1110,Duplicate,Command line UI for queues' information is broken with hierarchical queues.,Currently QueueManager API's return JobQueueInfo ; instead it should return QueueInfo; similarly wher ever  we are using JobQueueInfo as view ; we should use QueueInfo,0,0,1
60,MAPREDUCE-1119,MAPREDUCE-4121,Fixed,When tasks fail to report status; show tasks's stack dump before killing,dump the threads stack trace to stdout before killing a Task in timeout,0,1,1
61,MAPREDUCE-1138,MAPREDUCE-1888,Duplicate,Erroneous output folder handling in streaming testcases,Streaming overrides user given output key and value types.,1,1,1
62,MAPREDUCE-1141,MAPREDUCE-1302,Duplicate,Localization of a task's distributed-cache files gets blocked by deletion of old unrelated files when mapreduce.tasktracker.cache.local.size is hit.,TrackerDistributedCacheManager can delete file asynchronously,1,1,1
63,MAPREDUCE-1151,MAPREDUCE-1476,Duplicate,Cleanup and Setup jobs should only call cleanupJob() and setupJob() methods of the OutputCommitter,committer.needsTaskCommit should not be called for a task cleanup attempt,1,1,1
64,MAPREDUCE-1172,MAPREDUCE-1392,Duplicate,TestReduceFetch failed in 0.20,TestReduceFetch failure,0,1,1
65,MAPREDUCE-1220,MAPREDUCE-2405,Duplicate,Implement an in-cluster LocalJobRunner,MR-279: Implement uber-AppMaster (in-cluster LocalJobRunner for MRv2),0,1,1
66,MAPREDUCE-1237,MAPREDUCE-2903,Won't Fix,Job with no maps or reduces creates graph with XML parsing error,Map Tasks graph is throwing XML Parse error when Job is executed with 0 maps,0,1,1
67,MAPREDUCE-1245,MAPREDUCE-1256,Fixed,"TestFairScheduler fails with ""too many open files"" error",org.apache.hadoop.mapred.TestFairScheduler.testPoolAssignment (from TestFairScheduler) is failing in trunk,0,1,1
68,MAPREDUCE-1262,MAPREDUCE-1280,Duplicate,Eclipse Plugin does not build for Hadoop 0.20.1,Eclipse Plugin does not work with Eclipse Ganymede (3.4),1,1,1
69,MAPREDUCE-1266,MAPREDUCE-1906,Duplicate,Allow heartbeat interval smaller than 3 seconds for tiny clusters,Lower default minimum heartbeat interval for tasktracker > Jobtracker,0,0,1
70,MAPREDUCE-1270,MAPREDUCE-2841,Duplicate,Hadoop C++ Extention,Task level native optimization,1,1,1
71,MAPREDUCE-1307,MAPREDUCE-1483,Fixed,Introduce the concept of Job Permissions,CompletedJobStore should be authorized using job-acls,0,1,1
72,MAPREDUCE-1321,MAPREDUCE-1635,Duplicate,Spurios logs with org.apache.hadoop.util.DiskChecker$DiskErrorException in TaskTracker,ResourceEstimator does not work after MAPREDUCE-842,1,0,1
73,MAPREDUCE-1322,MAPREDUCE-1390,Fixed,TestStreamingAsDifferentUser fails on trunk,"Default value of ""/tmp/hadoop/mapred/system"" for JTConfig.JT_SYSTEM_DIR prevents multiple users from running tests and starting mapred cluster/JobTracker",0,1,1
74,MAPREDUCE-1350,MAPREDUCE-1785,Duplicate,Streaming should allow TextInputFormat keys to be passed through,Add streaming config option for not emitting the key,1,0,1
75,MAPREDUCE-1366,MAPREDUCE-1562,Fixed,Tests should not timeout if TaskTracker/JobTracker crashes in MiniMRCluster,TestBadRecords fails sometimes,1,1,1
76,MAPREDUCE-1382,MAPREDUCE-2049,Fixed,MRAsyncDiscService should tolerate missing local.dir,JT and TT should prune invalid local dirs on startup,0,0,1
77,MAPREDUCE-1383,MAPREDUCE-1405,Fixed,Allow storage and caching of delegation token.,unchecked cast warnings in trunk,1,0,1
78,MAPREDUCE-1401,MAPREDUCE-1840,Duplicate,[Gridmix] Add a load generating factory,[Gridmix] Exploit/Add security features in GridMix,1,1,1
79,MAPREDUCE-1428,MAPREDUCE-1465,Fixed,Make block size and the size of archive created files configurable.,archive partSize should be configurable,1,1,1
80,MAPREDUCE-1428,MAPREDUCE-1509,Fixed,Make block size and the size of archive created files configurable.,Partition size of Hadoop Archives should be configurable,1,1,1
81,MAPREDUCE-1436,MAPREDUCE-1499,Invalid,Deadlock in preemption code in fair scheduler,JobTracker.finalizeJob inverts lock order and causes potential deadlock,0,0,1
82,MAPREDUCE-1447,MAPREDUCE-3563,Duplicate,job level hook in OutputCommitter is not working in local mode,LocalJobRunner doesn't handle Jobs using o.a.h.mapreduce.OutputCommitter,0,1,1
83,MAPREDUCE-1557,MAPREDUCE-5807,Duplicate,MapReduce teragen  example should print correct error message for invalid inputs. Currently throws ArrayIndexOutOfBoundsException .,Print usage for TeraSort job.,0,1,1
84,MAPREDUCE-1569,MAPREDUCE-2002,Fixed,Mock Contexts & Configurations,MRUnit driver classes should provide ability to set a configuration object to be passed into the mapper/reducer,1,1,1
85,MAPREDUCE-1577,MAPREDUCE-3193,Duplicate,FileInputFormat in the new mapreduce package to support multi-level/recursive directory listing ,FileInputFormat doesn't read files recursively in the input path dir,0,1,1
86,MAPREDUCE-1592,MAPREDUCE-1619,Fixed,Generate Eclipse's .classpath file from Ivy config,Eclipse .classpath file should be generated from Ivy files to avoid duplicating dependencies,1,0,1
