,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,TST-170,SPARK-290,Not A Problem,Increase SVN Limit for Binary Artifacts to 300MB,Use SPARK_MASTER_IP if it is set in start-slaves.sh.,1,0,1
1,TST-171,SPARK-290,Invalid,JavaPairRDD should support subtractByKey,Use SPARK_MASTER_IP if it is set in start-slaves.sh.,1,0,1
2,TST-168,SPARK-290,Fixed,The spark-shell will fail to start when Spark is deployed using the tar.gz file built by ./make-distribution.,Use SPARK_MASTER_IP if it is set in start-slaves.sh.,1,0,1
3,TST-169,SPARK-290,Unresolved,Spark Stats package: supporting common statistical estimators for Big Data,Use SPARK_MASTER_IP if it is set in start-slaves.sh.,1,0,1
4,SPARK-290,SPARK-291,Fixed,Use SPARK_MASTER_IP if it is set in start-slaves.sh.,Removing credentials line in build.,1,1,1
5,SPARK-291,SPARK-292,Fixed,Removing credentials line in build.,Adding dependency repos in quickstart example,1,1,1
6,SPARK-292,SPARK-293,Fixed,Adding dependency repos in quickstart example,SparkContext.newShuffleId should be public or ShuffleDependency should set its own id,1,1,1
7,SPARK-293,SPARK-294,Fixed,SparkContext.newShuffleId should be public or ShuffleDependency should set its own id,Disable gpg by default.,1,1,1
8,SPARK-294,SPARK-295,Fixed,Disable gpg by default.,Access denied for LATEST_AMI_URL on 0.6 EC2 scripts,1,1,1
9,SPARK-295,SPARK-296,Fixed,Access denied for LATEST_AMI_URL on 0.6 EC2 scripts,Let the user specify environment variables to be passed to the Executors,1,1,1
10,SPARK-296,SPARK-297,Fixed,Let the user specify environment variables to be passed to the Executors,Change block manager to accept a ArrayBuffer,1,1,1
11,SPARK-297,SPARK-298,Fixed,Change block manager to accept a ArrayBuffer,Adding Java documentation,1,1,1
12,SPARK-298,SPARK-299,Fixed,Adding Java documentation,Null pointer exception when RDD size is larger than cache size,1,1,1
13,SPARK-299,SPARK-300,Fixed,Null pointer exception when RDD size is larger than cache size,Adding code for publishing to Sonatype.,1,1,1
14,SPARK-300,SPARK-301,Fixed,Adding code for publishing to Sonatype.,Fixed bug when fetching Jar dependencies.,1,1,1
15,SPARK-301,SPARK-302,Fixed,Fixed bug when fetching Jar dependencies.,Making Spark version configurable in docs and updating Bagel doc,1,1,1
16,SPARK-302,SPARK-303,Fixed,Making Spark version configurable in docs and updating Bagel doc,Support for Hadoop 2 distributions such as cdh4,1,1,1
17,SPARK-303,SPARK-304,Fixed,Support for Hadoop 2 distributions such as cdh4,Add m1.medium node option to cluster management script.,1,1,1
