,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,SPARK-533,SPARK-736,Fixed,Killing tasks in spark - request for comment,Killing tasks in spark,1,0,1
1,SPARK-545,SPARK-983,Duplicate,support external sort,Support external sorting for RDD#sortByKey(),0,0,1
2,SPARK-586,SPARK-589,Duplicate,Update docs to say that you need to set MESOS_NATIVE_LIBRARY when running standalone apps on Mesos,MESOS_NATIVE_LIBRARY env var needs to be set when running on Mesos,0,1,1
3,SPARK-594,SPARK-612,Fixed,Update examples to pass JARs when building a SparkContext in 0.6 and master,Update examples to pass JAR file to SparkContext in master and 0.6 branches,1,1,1
4,SPARK-620,SPARK-671,Duplicate,Default SPARK_MEM on AMI too high,Spark runs out of memory on fork/exec (affects both pipes and python),0,0,1
5,SPARK-636,SPARK-650,Unresolved,Add mechanism to run system management/configuration tasks on all workers,"Add a ""setup hook"" API for running initialization code on each executor",1,0,1
6,SPARK-636,SPARK-3513,Unresolved,Add mechanism to run system management/configuration tasks on all workers,Provide a utility for running a function once on each executor,1,0,1
7,SPARK-652,SPARK-673,Duplicate,Propagate exceptions from PySpark workers to the driver,PySpark should capture and re-throw Python exceptions,1,1,1
8,SPARK-655,SPARK-5785,Duplicate,Implement co-partitioning aware joins in PySpark,Pyspark does not support narrow dependencies,1,1,1
9,SPARK-672,SPARK-1989,Duplicate,"Executor gets stuck in a ""zombie"" state after running out of memory",Exit executors faster if they get into a cycle of heavy GC,1,0,1
10,SPARK-679,SPARK-1251,Duplicate,Have a DSL or other language support for OLAP expressions,Support for optimizing and executing structured queries,0,0,1
11,SPARK-682,SPARK-695,Duplicate,Memoize results of getPreferredLocations,Exponential recursion in getPreferredLocations,1,0,1
12,SPARK-693,SPARK-4616,Duplicate,Let deploy scripts set alternate conf; work directories,SPARK_CONF_DIR is not effective in spark-submit,1,0,1
13,SPARK-697,SPARK-1296,Duplicate,RDD should be covariant in T,Make RDDs Covariant,1,1,1
14,SPARK-750,SPARK-4442,Duplicate,LocalSparkContext should be included in Spark JAR,Move common unit test utilities into their own package / module,0,1,1
15,SPARK-754,SPARK-2243,Duplicate,Multiple Spark Contexts active in a single Spark Context,Support multiple SparkContexts in the same JVM,0,0,1
16,SPARK-761,SPARK-6828,Unresolved,Print a nicer error message when incompatible Spark binaries try to talk,Spark returns misleading message when client is incompatible with server,1,1,1
17,SPARK-786,SPARK-1860,Duplicate,Clean up old work directories in standalone worker,Standalone Worker cleanup should not clean up running executors,1,0,1
18,SPARK-791,SPARK-1091,Fixed,add DenseVector and SparseVector to mllib; and replace all Array[Double] with Vectors,Cloudpickle does not work correctly for some methods that use a splat,1,0,1
19,SPARK-836,SPARK-837,Duplicate,ResultTask's serialization forget to handle generation,"ResultTask's serialization forget about handling ""generation"" field; while ShuffleMapTask does",1,0,1
20,SPARK-868,SPARK-892,Duplicate,Document fair scheduler,Add docs page for fair scheduler,1,1,1
21,SPARK-888,SPARK-5495,Duplicate,Killing jobs on standalone cluster,Offer user the ability to kill application in master web UI for standalone mode,1,1,1
22,SPARK-907,SPARK-3644,Duplicate,Add JSON endpoints to SparkUI,REST API for Spark application info (jobs / stages / tasks / storage info),0,0,1
23,SPARK-926,SPARK-5403,Duplicate,spark_ec2 script when ssh/scp-ing should pipe UserknowHostFile to /dev/null,Ignore UserKnownHostsFile in SSH calls,1,0,1
24,SPARK-926,SPARK-5403,Duplicate,spark_ec2 script when ssh/scp-ing should pipe UserknowHostFile to /dev/null,Ignore UserKnownHostsFile in SSH calls,1,0,1
25,SPARK-936,SPARK-994,Duplicate,Please publish jars for Scala 2.10,Upgrade Spark to Scala 2.10,0,1,1
26,SPARK-937,SPARK-1118,Fixed,Executors that exit cleanly should not have KILLED status,Executor state shows as KILLED even the application is finished normally,0,0,1
27,SPARK-951,SPARK-3588,Duplicate,Gaussian Mixture Model,Gaussian Mixture Model clustering,0,0,1
28,SPARK-952,SPARK-3588,Duplicate,Python version of Gaussian Mixture Model,Gaussian Mixture Model clustering,0,0,1
29,SPARK-953,SPARK-1405,Duplicate,Latent Dirichlet Association (LDA model),parallel Latent Dirichlet Allocation (LDA) atop of spark in MLlib,0,1,1
30,SPARK-958,SPARK-1006,Duplicate,When iteration in ALS increases to 10 running in local mode; spark throws out error of StackOverflowError,MLlib ALS gets stack overflow with too many iterations,0,1,1
31,SPARK-969,SPARK-1132,Duplicate,Persistent web ui,Persisting Web UI through refactoring the SparkListener interface,0,0,1
32,SPARK-981,SPARK-4592,Duplicate,"Seemingly spurious ""Duplicate worker ID"" error messages",Worker registration failed: Duplicate worker ID error during Master failover,0,0,1
33,SPARK-983,SPARK-1541,Fixed,Support external sorting for RDD#sortByKey(),sortByKey requires all data to fit in memory,1,0,1
34,SPARK-993,SPARK-1018,Won't Fix,Don't reuse Writable objects in HadoopRDDs by default,take and collect don't work on HadoopRDD,0,1,1
35,SPARK-1006,SPARK-3370,Duplicate,MLlib ALS gets stack overflow with too many iterations,The simple test error,0,1,1
36,SPARK-1010,SPARK-4893,Fixed,Update all unit tests to use SparkConf instead of system properties,Clean up uses of System.setProperty in unit tests,0,0,1
37,SPARK-1013,SPARK-1066,Fixed,Have DEVELOPERS.txt file with documentation for developers,Improve Developer Documentation,1,1,1
38,SPARK-1014,SPARK-2309,Duplicate,MultilogisticRegressionWithSGD,Generalize the binary logistic regression into multinomial logistic regression,1,0,1
39,SPARK-1018,SPARK-3693,Not A Problem,take and collect don't work on HadoopRDD,Cached Hadoop RDD always return rows with the same value,1,1,1
40,SPARK-1020,SPARK-1132,Duplicate,SparkListener interfaces should not expose internal types/objects,Persisting Web UI through refactoring the SparkListener interface,0,0,1
